case_id,freq_ghz,tx_mw,dist_km,k,Q0,gamma_cloud,eta_total,cost_usd_per_kwh,pass_dist,pass_eff,pass_cost,pass_all,rx_mw
1,2.45,1.0,50.0,0.05,10.0,0.0,0.05572809000084121,0.03,0,0,1,0,0.05572809000084121
2,2.45,1.0,50.0,0.05,10.0,0.005,0.05104918632507395,0.03,0,0,1,0,0.05104918632507395
3,2.45,1.0,50.0,0.05,10.0,0.01,0.04691954323677658,0.03,0,0,1,0,0.04691954323677658
4,2.45,1.0,50.0,0.05,10.0,0.015,0.04325869233430373,0.03,0,0,1,0,0.04325869233430373
5,2.45,1.0,50.0,0.05,10.0,0.02,0.04000000000000002,0.03,0,0,1,0,0.04000000000000002
6,2.45,1.0,50.0,0.05,10.0,0.025,0.03708798216373993,0.03,0,0,1,0,0.03708798216373993
7,2.45,1.0,50.0,0.05,10.0,0.030000000000000004,0.03447619172851588,0.03,0,0,1,0,0.03447619172851588
8,2.45,1.0,50.0,0.05,10.0,0.035,0.032125547200993687,0.03,0,0,1,0,0.032125547200993687
9,2.45,1.0,50.0,0.05,10.0,0.04,0.030003003003273838,0.03,0,0,1,0,0.030003003003273838
10,2.45,1.0,50.0,0.05,10.0,0.045,0.028080485793557869,0.03,0,0,1,0,0.028080485793557869
11,2.45,1.0,50.0,0.05,10.0,0.049999999999999999,0.026334038989724009,0.03,0,0,1,0,0.026334038989724009
12,2.45,1.0,50.0,0.05,20.0,0.0,0.1715728752538099,0.03,0,0,1,0,0.1715728752538099
13,2.45,1.0,50.0,0.05,20.0,0.005,0.14946487558992878,0.03,0,0,1,0,0.14946487558992878
14,2.45,1.0,50.0,0.05,20.0,0.01,0.13108015556480594,0.03,0,0,1,0,0.13108015556480594
15,2.45,1.0,50.0,0.05,20.0,0.015,0.11568293861725146,0.03,0,0,1,0,0.11568293861725146
16,2.45,1.0,50.0,0.05,20.0,0.02,0.10269785045612905,0.03,0,0,1,0,0.10269785045612905
17,2.45,1.0,50.0,0.05,20.0,0.025,0.0916730868040161,0.03,0,0,1,0,0.0916730868040161
18,2.45,1.0,50.0,0.05,20.0,0.030000000000000004,0.08225207548377359,0.03,0,0,1,0,0.08225207548377359
19,2.45,1.0,50.0,0.05,20.0,0.035,0.07415180607255322,0.03,0,0,1,0,0.07415180607255322
20,2.45,1.0,50.0,0.05,20.0,0.04,0.06714629848935977,0.03,0,0,1,0,0.06714629848935977
21,2.45,1.0,50.0,0.05,20.0,0.045,0.0610539896381224,0.03,0,0,1,0,0.0610539896381224
22,2.45,1.0,50.0,0.05,20.0,0.049999999999999999,0.05572809000084121,0.03,0,0,1,0,0.05572809000084121
23,2.45,1.0,50.0,0.05,30.0,0.0,0.28642165534933808,0.03,0,0,1,0,0.28642165534933808
24,2.45,1.0,50.0,0.05,30.0,0.005,0.24344738691989607,0.03,0,0,1,0,0.24344738691989607
25,2.45,1.0,50.0,0.05,30.0,0.01,0.2085099365632916,0.03,0,0,1,0,0.2085099365632916
26,2.45,1.0,50.0,0.05,30.0,0.015,0.17992562086343606,0.03,0,0,1,0,0.17992562086343606
27,2.45,1.0,50.0,0.05,30.0,0.02,0.1563787094099472,0.03,0,0,1,0,0.1563787094099472
28,2.45,1.0,50.0,0.05,30.0,0.025,0.13684382216387717,0.03,0,0,1,0,0.13684382216387717
29,2.45,1.0,50.0,0.05,30.0,0.030000000000000004,0.12052177242144212,0.03,0,0,1,0,0.12052177242144212
30,2.45,1.0,50.0,0.05,30.0,0.035,0.10678828772353737,0.03,0,0,1,0,0.10678828772353737
31,2.45,1.0,50.0,0.05,30.0,0.04,0.09515390177287743,0.03,0,0,1,0,0.09515390177287743
32,2.45,1.0,50.0,0.05,30.0,0.045,0.08523300094061764,0.03,0,0,1,0,0.08523300094061764
33,2.45,1.0,50.0,0.05,30.0,0.049999999999999999,0.07672011683855507,0.03,0,0,1,0,0.07672011683855507
34,2.45,1.0,50.0,0.05,40.0,0.0,0.38196601125010518,0.03,0,0,1,0,0.38196601125010518
35,2.45,1.0,50.0,0.05,40.0,0.005,0.32057154523712796,0.03,0,0,1,0,0.32057154523712796
36,2.45,1.0,50.0,0.05,40.0,0.01,0.2710822137972817,0.03,0,0,1,0,0.2710822137972817
37,2.45,1.0,50.0,0.05,40.0,0.015,0.23100024402148842,0.03,0,0,1,0,0.23100024402148842
38,2.45,1.0,50.0,0.05,40.0,0.02,0.19834767152673223,0.03,0,0,1,0,0.19834767152673223
39,2.45,1.0,50.0,0.05,40.0,0.025,0.1715728752538099,0.03,0,0,1,0,0.1715728752538099
40,2.45,1.0,50.0,0.05,40.0,0.030000000000000004,0.14946487558992878,0.03,0,0,1,0,0.14946487558992878
41,2.45,1.0,50.0,0.05,40.0,0.035,0.13108015556480588,0.03,0,0,1,0,0.13108015556480588
42,2.45,1.0,50.0,0.05,40.0,0.04,0.11568293861725146,0.03,0,0,1,0,0.11568293861725146
43,2.45,1.0,50.0,0.05,40.0,0.045,0.10269785045612905,0.03,0,0,1,0,0.10269785045612905
44,2.45,1.0,50.0,0.05,40.0,0.049999999999999999,0.0916730868040161,0.03,0,0,1,0,0.0916730868040161
45,2.45,1.0,50.0,0.05,50.0,0.0,0.4583736308584794,0.03,0,0,1,0,0.4583736308584794
46,2.45,1.0,50.0,0.05,50.0,0.005,0.38196601125010518,0.03,0,0,1,0,0.38196601125010518
47,2.45,1.0,50.0,0.05,50.0,0.01,0.32057154523712796,0.03,0,0,1,0,0.32057154523712796
48,2.45,1.0,50.0,0.05,50.0,0.015,0.2710822137972817,0.03,0,0,1,0,0.2710822137972817
49,2.45,1.0,50.0,0.05,50.0,0.02,0.23100024402148842,0.03,0,0,1,0,0.23100024402148842
50,2.45,1.0,50.0,0.05,50.0,0.025,0.19834767152673223,0.03,0,0,1,0,0.19834767152673223
