Week,Conflict_Probability,Intervention_Effect,Net_Benefit_USD
0.,0.000503,0.000321,-9.68E+8
1.,0.000584,0.000372,-9.63E+8
2.,0.000679,0.000433,-9.57E+8
3.,0.000788,0.000503,-9.50E+8
4.,0.000916,0.000584,-9.42E+8
5.,0.001064,0.000678,-9.32E+8
6.,0.001236,0.000788,-9.21E+8
7.,0.001436,0.000915,-9.08E+8
8.,0.001668,0.001063,-8.94E+8
9.,0.001937,0.001235,-8.77E+8
10.,0.002250,0.001434,-8.57E+8
11.,0.002613,0.001666,-8.33E+8
12.,0.003034,0.001934,-8.07E+8
13.,0.003523,0.002246,-7.75E+8
14.,0.004091,0.002608,-7.39E+8
15.,0.004750,0.003028,-6.97E+8
16.,0.005514,0.003515,-6.48E+8
17.,0.006401,0.004080,-5.92E+8
18.,0.007428,0.004736,-5.26E+8
19.,0.008620,0.005495,-4.50E+8
20.,0.010000,0.006375,-3.63E+8
21.,0.011599,0.007394,-2.61E+8
22.,0.013449,0.008574,-1.43E+8
23.,0.015590,0.009939,-6.15E+6
24.,0.018065,0.011516,1.52E+8
25.,0.020924,0.013339,3.34E+8
26.,0.024224,0.015443,5.44E+8
27.,0.028028,0.017868,7.87E+8
28.,0.032410,0.020661,1.07E+9
29.,0.037448,0.023873,1.39E+9
30.,0.043232,0.027561,1.76E+9
31.,0.049862,0.031787,2.18E+9
32.,0.057443,0.036620,2.66E+9
33.,0.066093,0.042134,3.21E+9
34.,0.075934,0.048408,3.84E+9
35.,0.087096,0.055524,4.55E+9
36.,0.099711,0.063566,5.36E+9
37.,0.113913,0.072620,6.26E+9
38.,0.129829,0.082766,7.28E+9
39.,0.147576,0.094080,8.41E+9
40.,0.167254,0.106624,9.66E+9
41.,0.188938,0.120448,1.10E+10
42.,0.212670,0.135577,1.26E+10
43.,0.238448,0.152011,1.42E+10
44.,0.266224,0.169717,1.60E+10
45.,0.295889,0.188629,1.79E+10
46.,0.327277,0.208639,1.99E+10
47.,0.360162,0.229603,2.20E+10
48.,0.394259,0.251340,2.41E+10
49.,0.429235,0.273637,2.64E+10
50.,0.464719,0.296258,2.86E+10
51.,0.500318,0.318953,3.09E+10
52.,0.535635,0.341467,3.31E+10
