Wavelength_nm,Photon_Energy_eV,Detection_Efficiency
600.,2.0664,0.699191
605.,2.0493,0.725625
610.,2.0325,0.750122
615.,2.0160,0.772424
620.,1.9997,0.792287
625.,1.9837,0.809493
630.,1.9680,0.823848
635.,1.9525,0.835189
640.,1.9373,0.843385
645.,1.9222,0.848341
650.,1.9074,0.850000
655.,1.8929,0.848341
660.,1.8785,0.843385
665.,1.8644,0.835189
670.,1.8505,0.823848
675.,1.8368,0.809493
680.,1.8233,0.792287
685.,1.8100,0.772424
690.,1.7969,0.750122
695.,1.7839,0.725625
700.,1.7712,0.699191
705.,1.7586,0.671093
710.,1.7463,0.641614
715.,1.7340,0.611037
720.,1.7220,0.579650
725.,1.7101,0.547730
730.,1.6984,0.515551
735.,1.6869,0.483370
740.,1.6755,0.451432
745.,1.6642,0.419959
750.,1.6531,0.389158
755.,1.6422,0.359210
760.,1.6314,0.330274
765.,1.6207,0.302485
770.,1.6102,0.275955
775.,1.5998,0.250769
780.,1.5895,0.226994
785.,1.5794,0.204672
790.,1.5694,0.183825
795.,1.5595,0.164458
800.,1.5498,0.146558
805.,1.5402,0.130097
810.,1.5307,0.115035
815.,1.5213,0.101320
820.,1.5120,0.088892
825.,1.5028,0.077685
830.,1.4938,0.067626
835.,1.4848,0.058639
840.,1.4760,0.050649
845.,1.4673,0.043577
850.,1.4586,0.037346
855.,1.4501,0.031882
860.,1.4417,0.027111
865.,1.4333,0.022964
870.,1.4251,0.019375
875.,1.4170,0.016284
880.,1.4089,0.013632
885.,1.4010,0.011368
890.,1.3931,0.009443
895.,1.3853,0.007813
900.,1.3776,0.006439
