T(K),A(Pa^-n s^-1),tau(s)
250.0,2.0782396276133686e-25,4.582633011741087e+2
251.0,2.3315401471551822e-25,4.0847718343730677e+2
252.0,2.6133270723387414e-25,3.6443235998341356e+2
253.0,2.926529663119638e-25,3.2543013808571075e+2
254.0,3.274349347664473e-25,2.9086113033731925e+2
255.0,3.6602822028111776e-25,2.601933128679266e+2
256.0,4.0881430463655843e-25,2.3296174854439902e+2
257.0,4.562091237775164e-25,2.0875973380256388e+2
258.0,5.086658288211493e-25,1.8723116404106174e+2
259.0,5.666777385717879e-25,1.6806394314716894e+2
260.0,6.307814945837618e-25,1.509842886258746e+2
261.0,7.015604303031406e-25,1.3575180572391085e+2
262.0,7.796481663220062e-25,1.2215522251194585e+2
263.0,8.657324442950561e-25,1.1000869363934396e+2
264.0,9.605592125977698e-25,9.914859384933703e+1
265.0,1.0649369773482482e-24,8.94307337089969e+1
266.0,1.1797414329707896e-24,8.072793967934953e+1
267.0,1.3059203870484032e-24,7.29279488877183e+1
268.0,1.4444989947935696e-24,6.59315759868047e+1
269.0,1.5965853190613927e-24,5.965111547817828e+1
270.0,1.76337623243703e-24,5.400894799771334e+1
271.0,1.946163678549274e-24,4.8936323438678303e+1
272.0,2.1463413103944554e-24,4.437229753575044e+1
273.0,2.3654115240994691e-24,4.0262801744129134e+1
