case_id,direct_irradiance_wpm2,angle_deg,sun_hours,direct_power_w,scatter_power_w,total_power_w,daily_energy_wh,final_soc_wh,pass_target
1,400.0,0,4,1000.0,180.0,1180.0,4720.0,1079.242105263158,1
2,400.0,0,6,1000.0,180.0,1180.0,7080.0,3250.442105263158,1
3,400.0,0,8,1000.0,180.0,1180.0,9440.0,4736.8421052631575,1
4,400.0,0,10,1000.0,180.0,1180.0,11800.0,4736.8421052631575,1
5,400.0,0,12,1000.0,180.0,1180.0,14160.0,4736.8421052631575,1
6,400.0,30,4,1000.0,180.0,1021.9099764656376,4087.63990586255,497.47081865670407,1
7,400.0,30,6,1000.0,180.0,1021.9099764656376,6131.459858793824,2377.785175353477,1
8,400.0,30,8,1000.0,180.0,1021.9099764656376,8175.2798117251,4258.099532050251,1
9,400.0,30,10,1000.0,180.0,1021.9099764656376,10219.099764656376,4736.8421052631575,1
10,400.0,30,12,1000.0,180.0,1021.9099764656376,12262.919717587649,4736.8421052631575,1
11,400.0,45,4,1000.0,180.0,834.386001800126,3337.544007200505,0.0,0
12,400.0,45,6,1000.0,180.0,834.386001800126,5006.316010800757,1342.652835199854,1
13,400.0,45,8,1000.0,180.0,834.386001800126,6675.088014401012,2877.923078512089,1
14,400.0,45,10,1000.0,180.0,834.386001800126,8343.860018001262,4413.1933218243175,1
15,400.0,45,12,1000.0,180.0,834.386001800126,10012.632021601516,4736.8421052631575,1
16,400.0,60,4,1000.0,180.0,590.0,2360.0,0.0,0
17,400.0,60,6,1000.0,180.0,590.0,3540.0,0.0,0
18,400.0,60,8,1000.0,180.0,590.0,4720.0,1079.242105263158,1
19,400.0,60,10,1000.0,180.0,590.0,5900.0,2164.8421052631575,1
20,400.0,60,12,1000.0,180.0,590.0,7080.0,3250.442105263158,1
21,400.0,75,4,1000.0,180.0,305.4064732209745,1221.625892883898,0.0,0
22,400.0,75,6,1000.0,180.0,305.4064732209745,1832.4388393258469,0.0,0
23,400.0,75,8,1000.0,180.0,305.4064732209745,2443.251785767796,0.0,0
24,400.0,75,10,1000.0,180.0,305.4064732209745,3054.0647322097448,0.0,0
25,400.0,75,12,1000.0,180.0,305.4064732209745,3664.8776786516937,108.52956962271583,1
26,600.0,0,4,1500.0,270.0,1770.0,7080.0,3250.442105263158,1
27,600.0,0,6,1500.0,270.0,1770.0,10620.0,4736.8421052631575,1
28,600.0,0,8,1500.0,270.0,1770.0,14160.0,4736.8421052631575,1
29,600.0,0,10,1500.0,270.0,1770.0,17700.0,4736.8421052631575,1
30,600.0,0,12,1500.0,270.0,1770.0,21240.0,4736.8421052631575,1
31,600.0,30,4,1500.0,270.0,1532.8649646984563,6131.459858793825,2377.785175353477,1
32,600.0,30,6,1500.0,270.0,1532.8649646984563,9197.189788190737,4736.8421052631575,1
33,600.0,30,8,1500.0,270.0,1532.8649646984563,12262.91971758765,4736.8421052631575,1
34,600.0,30,10,1500.0,270.0,1532.8649646984563,15328.649646984562,4736.8421052631575,1
35,600.0,30,12,1500.0,270.0,1532.8649646984563,18394.379576381474,4736.8421052631575,1
36,600.0,45,4,1500.0,270.0,1251.579002700189,5006.316010800758,1342.652835199855,1
37,600.0,45,6,1500.0,270.0,1251.579002700189,7509.474016201135,3645.5582001682014,1
38,600.0,45,8,1500.0,270.0,1251.579002700189,10012.632021601517,4736.8421052631575,1
39,600.0,45,10,1500.0,270.0,1251.579002700189,12515.790027001893,4736.8421052631575,1
40,600.0,45,12,1500.0,270.0,1251.579002700189,15018.948032402273,4736.8421052631575,1
41,600.0,60,4,1500.0,270.0,885.0,3540.0,0.0,0
42,600.0,60,6,1500.0,270.0,885.0,5310.0,1622.0421052631573,1
43,600.0,60,8,1500.0,270.0,885.0,7080.0,3250.442105263158,1
44,600.0,60,10,1500.0,270.0,885.0,8850.0,4736.8421052631575,1
45,600.0,60,12,1500.0,270.0,885.0,10620.0,4736.8421052631575,1
46,600.0,75,4,1500.0,270.0,458.1097098314617,1832.4388393258469,0.0,0
47,600.0,75,6,1500.0,270.0,458.1097098314617,2748.6582589887703,0.0,0
48,600.0,75,8,1500.0,270.0,458.1097098314617,3664.8776786516937,108.52956962271583,1
49,600.0,75,10,1500.0,270.0,458.1097098314617,4581.097098314617,951.4514357126054,1
50,600.0,75,12,1500.0,270.0,458.1097098314617,5497.316517977541,1794.373301802494,1
51,800.0,0,4,2000.0,360.0,2360.0,9440.0,4736.8421052631575,1
52,800.0,0,6,2000.0,360.0,2360.0,14160.0,4736.8421052631575,1
53,800.0,0,8,2000.0,360.0,2360.0,18880.0,4736.8421052631575,1
54,800.0,0,10,2000.0,360.0,2360.0,23600.0,4736.8421052631575,1
55,800.0,0,12,2000.0,360.0,2360.0,28320.0,4736.8421052631575,1
56,800.0,30,4,2000.0,360.0,2043.819952931275,8175.2798117251,4258.099532050251,1
57,800.0,30,6,2000.0,360.0,2043.819952931275,12262.919717587649,4736.8421052631575,1
58,800.0,30,8,2000.0,360.0,2043.819952931275,16350.5596234502,4736.8421052631575,1
59,800.0,30,10,2000.0,360.0,2043.819952931275,20438.19952931275,4736.8421052631575,1
60,800.0,30,12,2000.0,360.0,2043.819952931275,24525.839435175298,4736.8421052631575,1
61,800.0,45,4,2000.0,360.0,1668.772003600252,6675.08801440101,2877.923078512087,1
62,800.0,45,6,2000.0,360.0,1668.772003600252,10012.632021601514,4736.8421052631575,1
63,800.0,45,8,2000.0,360.0,1668.772003600252,13350.176028802023,4736.8421052631575,1
64,800.0,45,10,2000.0,360.0,1668.772003600252,16687.720036002524,4736.8421052631575,1
65,800.0,45,12,2000.0,360.0,1668.772003600252,20025.26404320303,4736.8421052631575,1
66,800.0,60,4,2000.0,360.0,1180.0,4720.0,1079.242105263158,1
67,800.0,60,6,2000.0,360.0,1180.0,7080.0,3250.442105263158,1
68,800.0,60,8,2000.0,360.0,1180.0,9440.0,4736.8421052631575,1
69,800.0,60,10,2000.0,360.0,1180.0,11800.0,4736.8421052631575,1
70,800.0,60,12,2000.0,360.0,1180.0,14160.0,4736.8421052631575,1
71,800.0,75,4,2000.0,360.0,610.812946441949,2443.251785767796,0.0,0
72,800.0,75,6,2000.0,360.0,610.812946441949,3664.8776786516937,108.52956962271583,1
73,800.0,75,8,2000.0,360.0,610.812946441949,4886.503571535592,1232.4253910759026,1
74,800.0,75,10,2000.0,360.0,610.812946441949,6108.1294644194895,2356.3212125290875,1
75,800.0,75,12,2000.0,360.0,610.812946441949,7329.755357303387,3480.217033982274,1
76,1000.0,0,4,2500.0,450.0,2950.0,11800.0,4736.8421052631575,1
77,1000.0,0,6,2500.0,450.0,2950.0,17700.0,4736.8421052631575,1
78,1000.0,0,8,2500.0,450.0,2950.0,23600.0,4736.8421052631575,1
79,1000.0,0,10,2500.0,450.0,2950.0,29500.0,4736.8421052631575,1
80,1000.0,0,12,2500.0,450.0,2950.0,35400.0,4736.8421052631575,1
81,1000.0,30,4,2500.0,450.0,2554.774941164094,10219.099764656376,4736.8421052631575,1
82,1000.0,30,6,2500.0,450.0,2554.774941164094,15328.649646984562,4736.8421052631575,1
83,1000.0,30,8,2500.0,450.0,2554.774941164094,20438.19952931275,4736.8421052631575,1
84,1000.0,30,10,2500.0,450.0,2554.774941164094,25547.74941164094,4736.8421052631575,1
85,1000.0,30,12,2500.0,450.0,2554.774941164094,30657.299293969125,4736.8421052631575,1
86,1000.0,45,4,2500.0,450.0,2085.965004500315,8343.860018001262,4413.193321824319,1
87,1000.0,45,6,2500.0,450.0,2085.965004500315,12515.790027001893,4736.8421052631575,1
88,1000.0,45,8,2500.0,450.0,2085.965004500315,16687.720036002527,4736.8421052631575,1
89,1000.0,45,10,2500.0,450.0,2085.965004500315,20859.650045003153,4736.8421052631575,1
90,1000.0,45,12,2500.0,450.0,2085.965004500315,25031.58005400379,4736.8421052631575,1
91,1000.0,60,4,2500.0,450.0,1475.0,5900.0,2164.8421052631575,1
92,1000.0,60,6,2500.0,450.0,1475.0,8850.0,4736.8421052631575,1
93,1000.0,60,8,2500.0,450.0,1475.0,11800.0,4736.8421052631575,1
94,1000.0,60,10,2500.0,450.0,1475.0,14750.0,4736.8421052631575,1
95,1000.0,60,12,2500.0,450.0,1475.0,17700.0,4736.8421052631575,1
96,1000.0,75,4,2500.0,450.0,763.5161830524362,3054.0647322097448,0.0,0
97,1000.0,75,6,2500.0,450.0,763.5161830524362,4581.097098314617,951.4514357126054,1
98,1000.0,75,8,2500.0,450.0,763.5161830524362,6108.1294644194895,2356.3212125290875,1
99,1000.0,75,10,2500.0,450.0,763.5161830524362,7635.161830524362,3761.1909893455704,1
100,1000.0,75,12,2500.0,450.0,763.5161830524362,9162.194196629234,4736.8421052631575,1
