rho[J/m^3],p[Pa],stability_condition,stable,decay_prob,time[s]
-5.000000e+18,-5.000000e+18,-7.081633,True,0.000000,1.000000e-10
-4.950505e+18,-4.950505e+18,-7.164931,True,0.000000,1.592283e-10
-4.901010e+18,-4.901010e+18,-7.251701,True,0.000000,2.535364e-10
-4.851515e+18,-4.851515e+18,-7.342162,True,0.000000,4.037017e-10
-4.802020e+18,-4.802020e+18,-7.436557,True,0.000000,6.428073e-10
-4.752525e+18,-4.752525e+18,-7.535147,True,0.000000,1.023531e-09
-4.703030e+18,-4.703030e+18,-7.638219,True,0.000000,1.629751e-09
-4.653535e+18,-4.653535e+18,-7.746084,True,0.000000,2.595024e-09
-4.604040e+18,-4.604040e+18,-7.859086,True,0.000000,4.132012e-09
-4.554545e+18,-4.554545e+18,-7.977601,True,0.000000,6.579332e-09
-4.505051e+18,-4.505051e+18,-8.102041,True,0.000000,1.047616e-08
-4.455556e+18,-4.455556e+18,-8.232862,True,0.000000,1.668101e-08
-4.406061e+18,-4.406061e+18,-8.370569,True,0.000000,2.656088e-08
-4.356566e+18,-4.356566e+18,-8.515720,True,0.000000,4.229243e-08
-4.307071e+18,-4.307071e+18,-8.668934,True,0.000000,6.734151e-08
-4.257576e+18,-4.257576e+18,-8.830904,True,0.000000,1.072267e-07
-4.208081e+18,-4.208081e+18,-9.002401,True,0.000000,1.707353e-07
-4.158586e+18,-4.158586e+18,-9.184292,True,0.000000,2.718588e-07
-4.109091e+18,-4.109091e+18,-9.377551,True,0.000000,4.328761e-07
-4.059596e+18,-4.059596e+18,-9.583278,True,0.000000,6.892612e-07
-4.010101e+18,-4.010101e+18,-9.802721,True,0.000000,1.097499e-06
-3.960606e+18,-3.960606e+18,-10.037298,True,0.000000,1.747528e-06
-3.911111e+18,-3.911111e+18,-10.288630,True,0.000000,2.782559e-06
-3.861616e+18,-3.861616e+18,-10.558579,True,0.000000,4.430621e-06
-3.812121e+18,-3.812121e+18,-10.849294,True,0.000000,7.054802e-06
-3.762626e+18,-3.762626e+18,-11.163265,True,0.000000,1.123324e-05
-3.713131e+18,-3.713131e+18,-11.503401,True,0.000000,1.788650e-05
-3.663636e+18,-3.663636e+18,-11.873114,True,0.000000,2.848036e-05
-3.614141e+18,-3.614141e+18,-12.276438,True,0.000000,4.534879e-05
-3.564646e+18,-3.564646e+18,-12.718173,True,0.000000,7.220809e-05
-3.515152e+18,-3.515152e+18,-13.204082,True,0.000000,1.149757e-04
-3.465657e+18,-3.465657e+18,-13.741139,True,0.000000,1.830738e-04
-3.416162e+18,-3.416162e+18,-14.337868,True,0.000000,2.915053e-04
-3.366667e+18,-3.366667e+18,-15.004802,True,0.000000,4.641589e-04
-3.317172e+18,-3.317172e+18,-15.755102,True,0.000000,7.390722e-04
-3.267677e+18,-3.267677e+18,-16.605442,True,0.000000,1.176812e-03
-3.218182e+18,-3.218182e+18,-17.577259,True,0.000000,1.873817e-03
-3.168687e+18,-3.168687e+18,-18.698587,True,0.000000,2.983647e-03
-3.119192e+18,-3.119192e+18,-20.006803,True,0.000000,4.750810e-03
-3.069697e+18,-3.069697e+18,-21.552876,True,0.000000,7.564633e-03
-3.020202e+18,-3.020202e+18,-23.408163,True,0.000000,1.204504e-02
-2.970707e+18,-2.970707e+18,-25.675737,True,0.000000,1.917910e-02
-2.921212e+18,-2.921212e+18,-28.510204,True,0.000000,3.053856e-02
-2.871717e+18,-2.871717e+18,-32.154519,True,0.000000,4.862602e-02
-2.822222e+18,-2.822222e+18,-37.013605,True,0.000000,7.742637e-02
-2.772727e+18,-2.772727e+18,-43.816327,True,0.000000,1.232847e-01
-2.723232e+18,-2.723232e+18,-54.020408,True,0.000000,1.963041e-01
-2.673737e+18,-2.673737e+18,-71.027211,True,0.000000,3.125716e-01
-2.624242e+18,-2.624242e+18,-105.040816,True,0.000000,4.977024e-01
-2.574747e+18,-2.574747e+18,-207.081633,True,0.000000,7.924829e-01
-2.525253e+18,-2.525253e+18,-inf,True,0.000000,1.261857e+00
-2.475758e+18,-2.475758e+18,201.081633,False,0.000000,2.009233e+00
-2.426263e+18,-2.426263e+18,99.040816,False,0.000000,3.199267e+00
-2.376768e+18,-2.376768e+18,65.027211,False,0.000000,5.094138e+00
-2.327273e+18,-2.327273e+18,48.020408,False,0.000000,8.111308e+00
-2.277778e+18,-2.277778e+18,37.816327,False,0.000000,1.291550e+01
-2.228283e+18,-2.228283e+18,31.013605,False,0.000000,2.056512e+01
-2.178788e+18,-2.178788e+18,26.154519,False,0.000000,3.274549e+01
-2.129293e+18,-2.129293e+18,22.510204,False,0.000000,5.214008e+01
-2.079798e+18,-2.079798e+18,19.675737,False,0.000000,8.302176e+01
-2.030303e+18,-2.030303e+18,17.408163,False,0.000000,1.321941e+02
-1.980808e+18,-1.980808e+18,15.552876,False,0.000000,2.104904e+02
-1.931313e+18,-1.931313e+18,14.006803,False,0.000000,3.351603e+02
-1.881818e+18,-1.881818e+18,12.698587,False,0.000001,5.336699e+02
-1.832323e+18,-1.832323e+18,11.577259,False,0.000001,8.497534e+02
-1.782828e+18,-1.782828e+18,10.605442,False,0.000001,1.353048e+03
-1.733333e+18,-1.733333e+18,9.755102,False,0.000002,2.154435e+03
-1.683838e+18,-1.683838e+18,9.004802,False,0.000003,3.430469e+03
-1.634343e+18,-1.634343e+18,8.337868,False,0.000005,5.462277e+03
-1.584848e+18,-1.584848e+18,7.741139,False,0.000009,8.697490e+03
-1.535354e+18,-1.535354e+18,7.204082,False,0.000014,1.384886e+04
-1.485859e+18,-1.485859e+18,6.718173,False,0.000022,2.205131e+04
-1.436364e+18,-1.436364e+18,6.276438,False,0.000035,3.511192e+04
