time,theta,omega,energy
0.000000000000000000e+00,5.235987755982988157e-01,0.000000000000000000e+00,-8.495709211125344495e+00
1.000000000000000021e-02,5.233535255982988410e-01,-4.904999999999999638e-02,-8.495708955615183910e+00
2.000000000000000042e-02,5.226178797843076262e-01,-9.807916279824963057e-02,-8.495706656132822943e+00
2.999999999999999889e-02,5.213922549445229038e-01,-1.470458051587035797e-01,-8.495700270079174388e+00
4.000000000000000083e-02,5.196774847870956338e-01,-1.959082263267523660e-01,-8.495687759546747486e+00
5.000000000000000278e-02,5.174748201124260705e-01,-2.446247086071591248e-01,-8.495667094927016549e+00
5.999999999999999778e-02,5.147859289761165247e-01,-2.931535186547583050e-01,-8.495636258644013949e+00
7.000000000000000666e-02,5.116128968339863636e-01,-3.414529097712764583e-01,-8.495593249054412155e+00
8.000000000000000167e-02,5.079582266576534444e-01,-3.894811254953017832e-01,-8.495536084551362777e+00
8.999999999999999667e-02,5.038248390063566617e-01,-4.371964047640359841e-01,-8.495462807905896696e+00
1.000000000000000056e-01,4.992160720379614225e-01,-4.845569889150118104e-01,-8.495371490875255560e+00
1.100000000000000006e-01,4.941356814394690655e-01,-5.315211307834531995e-01,-8.495260239102492505e+00
1.199999999999999956e-01,4.885878402548697874e-01,-5.780471061364017560e-01,-8.495127197326013402e+00
1.300000000000000044e-01,4.825771385858469986e-01,-6.240932276681481206e-01,-8.494970554911370542e+00
1.400000000000000133e-01,4.761085831386916989e-01,-6.696178617629146013e-01,-8.494788551710758640e+00
1.499999999999999944e-01,4.691875965888262501e-01,-7.145794482101696099e-01,-8.494579484248326651e+00
1.600000000000000033e-01,4.618200167325980932e-01,-7.589365230354637726e-01,-8.494341712221640250e+00
1.700000000000000122e-01,4.540120953944941640e-01,-8.026477445853272830e-01,-8.494073665301520748e+00
1.799999999999999933e-01,4.457704970566743752e-01,-8.456719229786351377e-01,-8.493773850204274112e+00
1.900000000000000022e-01,4.371022971767359877e-01,-8.879680530090360291e-01,-8.493440858001740423e+00
2.000000000000000111e-01,4.280149801589224756e-01,-9.294953505536713845e-01,-8.493073371626367774e+00
2.099999999999999922e-01,4.185164369435909748e-01,-9.702132925126272234e-01,-8.492670173520055599e+00
2.200000000000000011e-01,4.086149621796701381e-01,-1.010081660271538118e+00,-8.492230153367607670e+00
2.300000000000000100e-01,3.983192509450789731e-01,-1.049060586646687998e+00,-8.491752315847957533e+00
2.399999999999999911e-01,3.876383949806552764e-01,-1.087110606238050670e+00,-8.491235788329252188e+00
2.500000000000000000e-01,3.765818784040588230e-01,-1.124192709081238029e+00,-8.490679828427548870e+00
2.600000000000000089e-01,3.651595728713799560e-01,-1.160268397454529588e+00,-8.490083831343296694e+00
2.700000000000000178e-01,3.533817321557954916e-01,-1.195299745662367075e+00,-8.489447336885246997e+00
2.800000000000000266e-01,3.412589861145726711e-01,-1.229249462582206132e+00,-8.488770036088027382e+00
2.899999999999999800e-01,3.288023340180227794e-01,-1.262080956727778647e+00,-8.488051777327408232e+00
2.999999999999999889e-01,3.160231372166389385e-01,-1.293758403548987301e+00,-8.487292571836499988e+00
3.099999999999999978e-01,3.029331111256080566e-01,-1.324246814657190408e+00,-8.486492598526778508e+00
3.200000000000000067e-01,2.895443165091474702e-01,-1.353512108634926436e+00,-8.485652208019983433e+00
3.300000000000000155e-01,2.758691500506650907e-01,-1.381521183061548141e+00,-8.484771925800769665e+00
3.400000000000000244e-01,2.619203341985515410e-01,-1.408241987361164016e+00,-8.483852454405379717e+00
3.500000000000000333e-01,2.477109062814602802e-01,-1.433643596057090797e+00,-8.482894674568532523e+00
3.599999999999999867e-01,2.332542068911845345e-01,-1.457696281998057675e+00,-8.481899645259495912e+00
3.699999999999999956e-01,2.185638675356642302e-01,-1.480371589106000307e+00,-8.480868602548184754e+00
3.800000000000000044e-01,2.036537975692155056e-01,-1.501642404183746615e+00,-8.479802957253872009e+00
3.900000000000000133e-01,1.885381704117292945e-01,-1.521483027313493386e+00,-8.478704291341729871e+00
4.000000000000000222e-01,1.732314090732921807e-01,-1.539869240373927584e+00,-8.477574353046357203e+00
4.100000000000000311e-01,1.577481710053958430e-01,-1.556778373205337962e+00,-8.476415050716376243e+00
4.199999999999999845e-01,1.421033323045780561e-01,-1.572189366958218093e+00,-8.475228445389493714e+00
4.299999999999999933e-01,1.263119712989282384e-01,-1.586082834171743672e+00,-8.474016742123538393e+00
4.400000000000000022e-01,1.103893515523488994e-01,-1.598441115144123126e+00,-8.472782280125011667e+00
4.500000000000000111e-01,9.435090432574269603e-02,-1.609248330177116548e+00,-8.471527521732680199e+00
4.600000000000000200e-01,7.821221053834782888e-02,-1.618490427301855883e+00,-8.470255040329435658e+00
4.700000000000000289e-01,6.198898227622701845e-02,-1.626155225122306369e+00,-8.468967507270468431e+00
4.799999999999999822e-01,4.569704389838542824e-02,-1.632232450446011951e+00,-8.467667677929785697e+00
4.899999999999999911e-01,2.935231279411108091e-02,-1.636713770408857460e+00,-8.466358376979819411e+00
5.000000000000000000e-01,1.297077984786142862e-02,-1.639592818841072441e+00,-8.465042483030057241e+00
5.100000000000000089e-01,-3.431510329669798000e-03,-1.640865216665172710e+00,-8.463722912760140105e+00
5.200000000000000178e-01,-1.983847934380808531e-02,-1.640528586162485203e+00,-8.462402604690375085e+00
5.300000000000000266e-01,-3.623403506958468301e-02,-1.638582558992834670e+00,-8.461084502738229318e+00
5.400000000000000355e-01,-5.260209175405539117e-02,-1.635028777901306407e+00,-8.459771539712567900e+00
5.500000000000000444e-01,-6.892659010404278419e-02,-1.629870892096172641e+00,-8.458466620898516197e+00
5.600000000000000533e-01,-8.519151729618607005e-02,-1.623114546332487418e+00,-8.457172607884597682e+00
5.700000000000000622e-01,-1.013809268467780605e-01,-1.614767363785910570e+00,-8.455892302780295466e+00
5.799999999999999600e-01,-1.174789582799597859e-01,-1.604838922850431615e+00,-8.454628432966510232e+00
5.899999999999999689e-01,-1.334698565344181465e-01,-1.593340728041242604e+00,-8.453383636513652988e+00
5.999999999999999778e-01,-1.493379910507719177e-01,-1.580286175229511869e+00,-8.452160448392396219e+00
