parameter,value,log10_value
total_formation_probability,1.1769646537260236e-31,-30.929236579571388
Bond_probability_per_step,1.0,0.0
Chain_formation_probability,1.0,0.0
Specific_sequence_probability,7.888609052210117e-31,-30.10299956639812
Functional_RNA_probability,0.1491979949743204,-0.8262370131732677
Time_factor_probability,1.0,0.0
length_20_nt,1.4832324230620857e-13,-12.828790789535175
length_30_nt,1.5045044988456134e-19,-18.822606509272585
length_50_nt,1.1769646537260236e-31,-30.929236579571388
length_70_nt,7.988395691583386e-44,-43.0975404312306
length_100_nt,3.1783749837207214e-75,-50.0
