Year,ATP_repair,ATP_no_repair,ROS_normal,ROS_reduced,Mito_Score
0.0,100.00,100.00,10.00,10.00,0.6000
1.0,98.81,98.51,10.20,10.12,0.5929
2.0,97.64,97.04,10.41,10.24,0.5858
3.0,96.48,95.60,10.62,10.37,0.5789
4.0,95.34,94.18,10.83,10.49,0.5720
5.0,94.22,92.77,11.05,10.62,0.5653
6.0,93.11,91.39,11.27,10.75,0.5587
7.0,92.03,90.03,11.50,10.88,0.5522
8.0,90.95,88.69,11.74,11.01,0.5457
9.0,89.90,87.37,11.97,11.14,0.5394
10.0,88.86,86.07,12.21,11.27,0.5331
11.0,87.83,84.79,12.46,11.41,0.5270
12.0,86.82,83.53,12.71,11.55,0.5209
13.0,85.83,82.28,12.97,11.69,0.5150
14.0,84.85,81.06,13.23,11.83,0.5091
15.0,83.88,79.85,13.50,11.97,0.5033
16.0,82.93,78.66,13.77,12.12,0.4976
17.0,81.99,77.49,14.05,12.26,0.4920
18.0,81.07,76.34,14.33,12.41,0.4864
19.0,80.16,75.20,14.62,12.56,0.4810
20.0,79.27,74.08,14.92,12.71,0.4756
21.0,78.38,72.98,15.22,12.87,0.4703
22.0,77.51,71.89,15.53,13.02,0.4651
23.0,76.66,70.82,15.84,13.18,0.4599
24.0,75.81,69.77,16.16,13.34,0.4549
25.0,74.98,68.73,16.49,13.50,0.4499
26.0,74.16,67.71,16.82,13.66,0.4450
27.0,73.36,66.70,17.16,13.83,0.4401
28.0,72.56,65.70,17.51,13.99,0.4354
29.0,71.78,64.73,17.86,14.16,0.4307
30.0,71.01,63.76,18.22,14.33,0.4261
31.0,70.25,62.81,18.59,14.51,0.4215
32.0,69.50,61.88,18.96,14.68,0.4170
33.0,68.77,60.96,19.35,14.86,0.4126
34.0,68.04,60.05,19.74,15.04,0.4082
35.0,67.32,59.16,20.14,15.22,0.4039
36.0,66.62,58.27,20.54,15.40,0.3997
37.0,65.93,57.41,20.96,15.59,0.3956
38.0,65.24,56.55,21.38,15.78,0.3915
39.0,64.57,55.71,21.81,15.97,0.3874
40.0,63.90,54.88,22.26,16.16,0.3834
41.0,63.25,54.06,22.70,16.36,0.3795
42.0,62.61,53.26,23.16,16.55,0.3756
43.0,61.97,52.47,23.63,16.75,0.3718
44.0,61.35,51.69,24.11,16.96,0.3681
45.0,60.73,50.92,24.60,17.16,0.3644
46.0,60.13,50.16,25.09,17.37,0.3608
47.0,59.53,49.41,25.60,17.58,0.3572
48.0,58.94,48.68,26.12,17.79,0.3536
49.0,58.36,47.95,26.64,18.00,0.3502
50.0,57.79,47.24,27.18,18.22,0.3467
51.0,57.23,46.53,27.73,18.44,0.3434
52.0,56.67,45.84,28.29,18.66,0.3400
53.0,56.13,45.16,28.86,18.89,0.3368
54.0,55.59,44.49,29.45,19.12,0.3335
55.0,55.06,43.82,30.04,19.35,0.3304
56.0,54.54,43.17,30.65,19.58,0.3272
57.0,54.02,42.53,31.27,19.82,0.3241
58.0,53.52,41.90,31.90,20.06,0.3211
59.0,53.02,41.27,32.54,20.30,0.3181
60.0,52.53,40.66,33.20,20.54,0.3152
61.0,52.04,40.05,33.87,20.79,0.3122
62.0,51.56,39.46,34.56,21.04,0.3094
63.0,51.09,38.87,35.25,21.30,0.3066
64.0,50.63,38.29,35.97,21.55,0.3038
65.0,50.18,37.72,36.69,21.81,0.3011
66.0,49.73,37.16,37.43,22.08,0.2984
67.0,49.28,36.60,38.19,22.34,0.2957
68.0,48.85,36.06,38.96,22.61,0.2931
69.0,48.42,35.52,39.75,22.89,0.2905
70.0,48.00,34.99,40.55,23.16,0.2880
71.0,47.58,34.47,41.37,23.44,0.2855
72.0,47.17,33.96,42.21,23.73,0.2830
73.0,46.76,33.45,43.06,24.01,0.2806
74.0,46.36,32.96,43.93,24.30,0.2782
75.0,45.97,32.47,44.82,24.60,0.2758
76.0,45.59,31.98,45.72,24.89,0.2735
77.0,45.20,31.51,46.65,25.19,0.2712
78.0,44.83,31.04,47.59,25.50,0.2690
79.0,44.46,30.57,48.55,25.81,0.2668
80.0,44.10,30.12,49.53,26.12,0.2646
81.0,43.74,29.67,50.53,26.43,0.2624
82.0,43.38,29.23,51.55,26.75,0.2603
83.0,43.04,28.79,52.59,27.07,0.2582
84.0,42.69,28.37,53.66,27.40,0.2562
85.0,42.35,27.94,54.74,27.73,0.2541
86.0,42.02,27.53,55.85,28.07,0.2521
87.0,41.69,27.12,56.97,28.41,0.2502
88.0,41.37,26.71,58.12,28.75,0.2482
89.0,41.05,26.32,59.30,29.10,0.2463
90.0,40.74,25.92,60.50,29.45,0.2444
91.0,40.43,25.54,61.72,29.80,0.2426
92.0,40.13,25.16,62.97,30.16,0.2408
93.0,39.83,24.78,64.24,30.53,0.2390
94.0,39.53,24.41,65.54,30.89,0.2372
95.0,39.24,24.05,66.86,31.27,0.2354
96.0,38.95,23.69,68.21,31.65,0.2337
97.0,38.67,23.34,69.59,32.03,0.2320
98.0,38.39,22.99,70.99,32.41,0.2304
99.0,38.12,22.65,72.43,32.81,0.2287
100.0,37.85,22.31,73.89,33.20,0.2271
