time,x_numeric,x_analytic,velocity
0.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000056e-01,0.000000000000000000e+00
1.000000000000000021e-02,9.995003748333333715e-02,9.995003747986958009e-02,-9.988341663333333981e-03
2.000000000000000042e-02,9.980033296001390719e-02,9.980033295144674632e-02,-1.994674907909343986e-02
2.999999999999999889e-02,9.955123525715060817e-02,9.955123524185818806e-02,-2.986533442947584410e-02
4.000000000000000083e-02,9.920319179047205893e-02,9.920319176685347962e-02,-3.973426943150265567e-02
5.000000000000000278e-02,9.875674792041508332e-02,9.875674788689356443e-02,-4.954379503571480076e-02
5.999999999999999778e-02,9.821254621166100596e-02,9.821254616668696757e-02,-5.928423103632770447e-02
7.000000000000000666e-02,9.757132559705242181e-02,9.757132553910660699e-02,-6.894598558342754369e-02
8.000000000000000167e-02,9.683392044691657707e-02,9.683392037451304946e-02,-7.851956458790193549e-02
8.999999999999999667e-02,9.600125954491416091e-02,9.600125945660323290e-02,-8.799558100992450893e-02
1.000000000000000056e-01,9.507436497162316535e-02,9.507436486599434022e-02,-9.736476402194779722e-02
1.100000000000000006e-01,9.405435089715745434e-02,9.405435077284214629e-02,-1.066179680373018912e-01
1.199999999999999956e-01,9.294242228420780683e-02,9.294242213988217205e-02,-1.157461815956487144e-01
1.300000000000000044e-01,9.173987350298008769e-02,9.173987333736767502e-02,-1.247405360967019788e-01
1.400000000000000133e-01,9.044808685958995176e-02,9.044808667146431169e-02,-1.335923143737917929e-01
1.499999999999999944e-01,8.906853103955718332e-02,8.906853082774429664e-02,-1.422929590990295590e-01
1.600000000000000033e-01,8.760275946812397241e-02,8.760275923150474819e-02,-1.508340810120137321e-01
1.700000000000000122e-01,8.605240858920136515e-02,8.605240832671394446e-02,-1.592074669642088158e-01
1.799999999999999933e-01,8.441919606482554961e-02,8.441919577546751208e-02,-1.674050877713308128e-01
1.900000000000000022e-01,8.270491889708143918e-02,8.270491857991199569e-02,-1.754191058662781799e-01
2.000000000000000111e-01,8.091145147452449837e-02,8.091145112866646172e-02,-1.832418827453626831e-01
2.099999999999999922e-01,7.904074354520314316e-02,7.904074316984489867e-02,-1.908659862008147412e-01
2.200000000000000011e-01,7.709481811845311783e-02,7.709481771285042750e-02,-1.982841973327655882e-01
2.300000000000000100e-01,7.507576929770207186e-02,7.507576886117976744e-02,-2.054895173341424464e-01
2.399999999999999911e-01,7.298576004658720306e-02,7.298575957854083751e-02,-2.124751740421531310e-01
2.500000000000000000e-01,7.082701989075039506e-02,7.082701939064769969e-02,-2.192346282502816990e-01
2.600000000000000089e-01,6.860184255773529860e-02,6.860184202511754314e-02,-2.257615797749687181e-01
2.700000000000000178e-01,6.631258355746748323e-02,6.631258299195072481e-02,-2.320499732714060848e-01
2.800000000000000266e-01,6.396165770585331145e-02,6.396165710712961583e-02,-2.380940037931381925e-01
2.899999999999999800e-01,6.155153659408490324e-02,6.155153596192321913e-02,-2.438881220904277336e-01
2.999999999999999889e-01,5.908474600628754736e-02,5.908474534053464317e-02,-2.494270396426155334e-01
3.099999999999999978e-01,5.656386328819246884e-02,5.656386258877373757e-02,-2.547057334199787637e-01
3.200000000000000067e-01,5.399151466956114698e-02,5.399151393648118913e-02,-2.597194503708715740e-01
3.300000000000000155e-01,5.137037254312837309e-02,5.137037177647151703e-02,-2.644637116302144819e-01
3.400000000000000244e-01,4.870315270286894316e-02,4.870315190279962680e-02,-2.689343164456856061e-01
3.500000000000000333e-01,4.599261154442806782e-02,4.599261071119108840e-02,-2.731273458182556513e-01
3.599999999999999867e-01,4.324154323058761185e-02,4.324154236450827166e-02,-2.770391658540007351e-01
3.699999999999999956e-01,4.045277682466947439e-02,4.045277592615351830e-02,-2.806664308244218864e-01
3.800000000000000044e-01,3.762917339480368467e-02,3.762917246433716834e-02,-2.840060859327966925e-01
3.900000000000000133e-01,3.477362309201199875e-02,3.477362213016107345e-02,-2.870553697843867269e-01
4.000000000000000222e-01,3.188904220507809972e-02,3.188904121248859608e-02,-2.898118165586253681e-01
4.100000000000000311e-01,2.897837019519271251e-02,2.897836917258958186e-02,-2.922732578817112681e-01
