case_id,T_K,t_sec,t_hour,mu,mu_approx,N_N,F_N,target_N,pass_target
1,223.15,0.0,0.0,0.5,0.4962,4000.0,2000.0,1000.0,1
2,223.15,2979.0,0.83,0.5,0.4275,4000.0,2000.0,1000.0,1
3,223.15,5959.0,1.66,0.5,0.3684,4000.0,2000.0,1000.0,1
4,223.15,8938.0,2.48,0.5,0.3174,4000.0,2000.0,1000.0,1
5,223.15,11917.0,3.31,0.5,0.2735,4000.0,2000.0,1000.0,1
6,223.15,14897.0,4.14,0.5,0.2356,4000.0,2000.0,1000.0,1
7,223.15,17876.0,4.97,0.5,0.203,4000.0,2000.0,1000.0,1
8,223.15,20855.0,5.79,0.5,0.1749,4000.0,2000.0,1000.0,1
9,223.15,23834.0,6.62,0.5,0.1507,4000.0,2000.0,1000.0,1
10,223.15,26814.0,7.45,0.5,0.1298,4000.0,2000.0,1000.0,1
11,223.15,29793.0,8.28,0.5,0.1119,4000.0,2000.0,1000.0,1
12,223.15,32772.0,9.1,0.5,0.0964,4000.0,2000.0,1000.0,1
13,223.15,35752.0,9.93,0.5,0.083,4000.0,2000.0,1000.0,1
14,223.15,38731.0,10.76,0.5,0.0716,4000.0,2000.0,1000.0,1
15,223.15,41710.0,11.59,0.5,0.0617,4000.0,2000.0,1000.0,1
16,223.15,44690.0,12.41,0.5,0.0531,4000.0,2000.0,1000.0,1
17,223.15,47669.0,13.24,0.5,0.05,4000.0,2000.0,1000.0,1
18,223.15,50648.0,14.07,0.5,0.05,4000.0,2000.0,1000.0,1
19,223.15,53628.0,14.9,0.5,0.05,4000.0,2000.0,1000.0,1
20,223.15,56607.0,15.72,0.5,0.05,4000.0,2000.0,1000.0,1
21,223.15,59586.0,16.55,0.5,0.05,4000.0,2000.0,1000.0,1
22,223.15,62566.0,17.38,0.5,0.05,4000.0,2000.0,1000.0,1
23,223.15,65545.0,18.21,0.5,0.05,4000.0,2000.0,1000.0,1
24,223.15,68524.0,19.03,0.5,0.05,4000.0,2000.0,1000.0,1
25,223.15,71503.0,19.86,0.5,0.05,4000.0,2000.0,1000.0,1
26,223.15,74483.0,20.69,0.5,0.05,4000.0,2000.0,1000.0,1
27,223.15,77462.0,21.52,0.5,0.05,4000.0,2000.0,1000.0,1
28,223.15,80441.0,22.34,0.5,0.05,4000.0,2000.0,1000.0,1
29,223.15,83421.0,23.17,0.5,0.05,4000.0,2000.0,1000.0,1
30,223.15,86400.0,24.0,0.5,0.05,4000.0,2000.0,1000.0,1
31,224.87,0.0,0.0,0.5,0.4964,4000.0,2000.0,1000.0,1
32,224.87,2979.0,0.83,0.5,0.4277,4000.0,2000.0,1000.0,1
33,224.87,5959.0,1.66,0.5,0.3685,4000.0,2000.0,1000.0,1
34,224.87,8938.0,2.48,0.5,0.3175,4000.0,2000.0,1000.0,1
35,224.87,11917.0,3.31,0.5,0.2735,4000.0,2000.0,1000.0,1
36,224.87,14897.0,4.14,0.5,0.2357,4000.0,2000.0,1000.0,1
37,224.87,17876.0,4.97,0.5,0.2031,4000.0,2000.0,1000.0,1
38,224.87,20855.0,5.79,0.5,0.175,4000.0,2000.0,1000.0,1
39,224.87,23834.0,6.62,0.5,0.1507,4000.0,2000.0,1000.0,1
40,224.87,26814.0,7.45,0.5,0.1299,4000.0,2000.0,1000.0,1
