case_id,p,A,v,P_W,target_P_W,pass_target
1,1000.0,1.0,10.0,5000.0,1680000000000.0,0
2,1000.0,1.0,100.0,50000.0,1680000000000.0,0
3,1000.0,1.0,1000.0,500000.0,1680000000000.0,0
4,1000.0,1.0,5000.0,2500000.0,1680000000000.0,0
5,1000.0,10.0,10.0,50000.0,1680000000000.0,0
6,1000.0,10.0,100.0,500000.0,1680000000000.0,0
7,1000.0,10.0,1000.0,5000000.0,1680000000000.0,0
8,1000.0,10.0,5000.0,25000000.0,1680000000000.0,0
9,1000.0,100.0,10.0,500000.0,1680000000000.0,0
10,1000.0,100.0,100.0,5000000.0,1680000000000.0,0
11,1000.0,100.0,1000.0,50000000.0,1680000000000.0,0
12,1000.0,100.0,5000.0,250000000.0,1680000000000.0,0
13,1000.0,1000.0,10.0,5000000.0,1680000000000.0,0
14,1000.0,1000.0,100.0,50000000.0,1680000000000.0,0
15,1000.0,1000.0,1000.0,500000000.0,1680000000000.0,0
16,1000.0,1000.0,5000.0,2500000000.0,1680000000000.0,0
17,10000.0,1.0,10.0,50000.0,1680000000000.0,0
18,10000.0,1.0,100.0,500000.0,1680000000000.0,0
19,10000.0,1.0,1000.0,5000000.0,1680000000000.0,0
20,10000.0,1.0,5000.0,25000000.0,1680000000000.0,0
21,10000.0,10.0,10.0,500000.0,1680000000000.0,0
22,10000.0,10.0,100.0,5000000.0,1680000000000.0,0
23,10000.0,10.0,1000.0,50000000.0,1680000000000.0,0
24,10000.0,10.0,5000.0,250000000.0,1680000000000.0,0
25,10000.0,100.0,10.0,5000000.0,1680000000000.0,0
26,10000.0,100.0,100.0,50000000.0,1680000000000.0,0
27,10000.0,100.0,1000.0,500000000.0,1680000000000.0,0
28,10000.0,100.0,5000.0,2500000000.0,1680000000000.0,0
29,10000.0,1000.0,10.0,50000000.0,1680000000000.0,0
30,10000.0,1000.0,100.0,500000000.0,1680000000000.0,0
31,10000.0,1000.0,1000.0,5000000000.0,1680000000000.0,0
32,10000.0,1000.0,5000.0,25000000000.0,1680000000000.0,0
33,100000.0,1.0,10.0,500000.0,1680000000000.0,0
34,100000.0,1.0,100.0,5000000.0,1680000000000.0,0
35,100000.0,1.0,1000.0,50000000.0,1680000000000.0,0
36,100000.0,1.0,5000.0,250000000.0,1680000000000.0,0
37,100000.0,10.0,10.0,5000000.0,1680000000000.0,0
38,100000.0,10.0,100.0,50000000.0,1680000000000.0,0
39,100000.0,10.0,1000.0,500000000.0,1680000000000.0,0
40,100000.0,10.0,5000.0,2500000000.0,1680000000000.0,0
41,100000.0,100.0,10.0,50000000.0,1680000000000.0,0
42,100000.0,100.0,100.0,500000000.0,1680000000000.0,0
43,100000.0,100.0,1000.0,5000000000.0,1680000000000.0,0
44,100000.0,100.0,5000.0,25000000000.0,1680000000000.0,0
45,100000.0,1000.0,10.0,500000000.0,1680000000000.0,0
46,100000.0,1000.0,100.0,5000000000.0,1680000000000.0,0
47,100000.0,1000.0,1000.0,50000000000.0,1680000000000.0,0
48,100000.0,1000.0,5000.0,250000000000.0,1680000000000.0,0
49,1000000.0,1.0,10.0,5000000.0,1680000000000.0,0
50,1000000.0,1.0,100.0,50000000.0,1680000000000.0,0
51,1000000.0,1.0,1000.0,500000000.0,1680000000000.0,0
52,1000000.0,1.0,5000.0,2500000000.0,1680000000000.0,0
53,1000000.0,10.0,10.0,50000000.0,1680000000000.0,0
54,1000000.0,10.0,100.0,500000000.0,1680000000000.0,0
55,1000000.0,10.0,1000.0,5000000000.0,1680000000000.0,0
56,1000000.0,10.0,5000.0,25000000000.0,1680000000000.0,0
57,1000000.0,100.0,10.0,500000000.0,1680000000000.0,0
58,1000000.0,100.0,100.0,5000000000.0,1680000000000.0,0
59,1000000.0,100.0,1000.0,50000000000.0,1680000000000.0,0
60,1000000.0,100.0,5000.0,250000000000.0,1680000000000.0,0
61,1000000.0,1000.0,10.0,5000000000.0,1680000000000.0,0
62,1000000.0,1000.0,100.0,50000000000.0,1680000000000.0,0
63,1000000.0,1000.0,1000.0,500000000000.0,1680000000000.0,0
64,1000000.0,1000.0,5000.0,2500000000000.0,1680000000000.0,1
