case_id,direct_irradiance_wpm2,angle_deg,sun_hours,direct_power_w,scatter_power_w,total_power_w,daily_energy_wh,final_soc_wh,battery_empty,pass_target
1,400,0,4,1000.0,180.0,1180.0,4720.0,1079.24,False,0
2,400,0,6,1000.0,180.0,1180.0,7080.0,3250.44,False,0
3,400,0,8,1000.0,180.0,1180.0,9440.0,4736.84,False,1
4,400,0,10,1000.0,180.0,1180.0,11800.0,4736.84,False,1
5,400,0,12,1000.0,180.0,1180.0,14160.0,4736.84,False,1
6,400,30,4,1000.0,180.0,1021.91,4087.64,497.47,False,0
7,400,30,6,1000.0,180.0,1021.91,6131.46,2377.79,False,0
8,400,30,8,1000.0,180.0,1021.91,8175.28,4258.1,False,1
9,400,30,10,1000.0,180.0,1021.91,10219.1,4736.84,False,1
10,400,30,12,1000.0,180.0,1021.91,12262.92,4736.84,False,1
11,400,45,4,1000.0,180.0,834.39,3337.54,0.0,True,0
12,400,45,6,1000.0,180.0,834.39,5006.32,1342.65,False,0
13,400,45,8,1000.0,180.0,834.39,6675.09,2877.92,False,0
14,400,45,10,1000.0,180.0,834.39,8343.86,4413.19,False,1
15,400,45,12,1000.0,180.0,834.39,10012.63,4736.84,False,1
16,400,60,4,1000.0,180.0,590.0,2360.0,0.0,True,0
17,400,60,6,1000.0,180.0,590.0,3540.0,0.0,True,0
18,400,60,8,1000.0,180.0,590.0,4720.0,1079.24,False,0
19,400,60,10,1000.0,180.0,590.0,5900.0,2164.84,False,0
20,400,60,12,1000.0,180.0,590.0,7080.0,3250.44,False,0
21,400,75,4,1000.0,180.0,305.41,1221.63,0.0,True,0
22,400,75,6,1000.0,180.0,305.41,1832.44,0.0,True,0
23,400,75,8,1000.0,180.0,305.41,2443.25,0.0,True,0
24,400,75,10,1000.0,180.0,305.41,3054.06,0.0,True,0
25,400,75,12,1000.0,180.0,305.41,3664.88,108.53,False,0
26,600,0,4,1500.0,270.0,1770.0,7080.0,3250.44,False,0
27,600,0,6,1500.0,270.0,1770.0,10620.0,4736.84,False,1
28,600,0,8,1500.0,270.0,1770.0,14160.0,4736.84,False,1
29,600,0,10,1500.0,270.0,1770.0,17700.0,4736.84,False,1
30,600,0,12,1500.0,270.0,1770.0,21240.0,4736.84,False,1
