year,completed_sites,cumulative_H2_capacity_mol_s,annual_H2_production_mol
0,66,66000000.0,2082801600000000.0
10,103,103000000.0,3250432800000000.0
20,158,158000000.0,4986100800000000.0
30,233,233000000.0,7352920800000000.0
40,327,327000000.0,1.03193352e+16
50,432,432000000.0,1.36328832e+16
60,538,538000000.0,1.69779888e+16
70,632,632000000.0,1.99444032e+16
80,707,707000000.0,2.23112232e+16
90,762,762000000.0,2.40468912e+16
100,799,799000000.0,2.52145224e+16
110,824,824000000.0,2.60034624e+16
120,840,840000000.0,2.6508384e+16
130,849,849000000.0,2.67924024e+16
140,855,855000000.0,2.6981748e+16
150,859,859000000.0,2.71079784e+16
160,861,861000000.0,2.71710936e+16
170,863,863000000.0,2.72342088e+16
180,864,864000000.0,2.72657664e+16
190,864,864000000.0,2.72657664e+16
200,865,865000000.0,2.7297324e+16
210,865,865000000.0,2.7297324e+16
220,865,865000000.0,2.7297324e+16
230,865,865000000.0,2.7297324e+16
240,865,865000000.0,2.7297324e+16
250,865,865000000.0,2.7297324e+16
260,865,865000000.0,2.7297324e+16
270,865,865000000.0,2.7297324e+16
280,865,865000000.0,2.7297324e+16
290,865,865000000.0,2.7297324e+16
300,865,865000000.0,2.7297324e+16
