source,target,distance_m,weight
0,465,53584.464217869216,53.58446421786922
1,240,419867.03905432974,419.8670390543297
1,535,255725.66254396847,255.72566254396847
1,720,462725.9467771858,462.72594677718575
3,510,413749.11166891217,413.7491116689122
3,541,362773.72010647715,362.7737201064771
4,318,357070.7593346055,357.0707593346055
4,562,363883.8062687298,363.8838062687298
4,590,494385.02873370703,494.38502873370703
4,790,241119.331605885,241.119331605885
6,354,423869.9474832523,423.8699474832523
7,574,400098.1231288013,400.0981231288013
7,767,466325.6759904549,466.3256759904549
8,28,354444.04712919344,354.44404712919345
8,793,412004.29537535587,412.00429537535587
9,337,139428.0175655275,139.42801756552748
9,435,242991.60339413743,242.99160339413743
10,244,146094.17284803922,146.09417284803922
10,291,465931.4386070094,465.9314386070094
10,356,183631.60409360487,183.63160409360486
10,456,262045.67512152746,262.04567512152744
10,515,201948.31112666018,201.94831112666017
11,478,152593.51095279798,152.59351095279797
11,581,468230.69957647176,468.23069957647175
11,675,439015.6623602127,439.01566236021273
13,71,386573.4729361816,386.5734729361816
13,368,256476.55059503505,256.47655059503506
13,637,370693.66011012415,370.69366011012414
14,15,140887.20256403857,140.88720256403857
14,167,189227.742420937,189.227742420937
14,689,187886.18250724496,187.88618250724497
14,842,147447.17509074748,147.44717509074746
15,167,100911.14933761132,100.91114933761132
15,689,124116.26537984995,124.11626537984995
15,842,276837.50474292575,276.8375047429258
16,269,406150.81959366624,406.15081959366626
17,474,426562.87652504153,426.56287652504153
17,570,420532.77391252347,420.53277391252345
18,130,415652.3710853451,415.6523710853451
19,687,448345.87630355934,448.34587630355935
20,30,426578.79233982635,426.57879233982635
20,573,471643.6938103333,471.64369381033333
21,519,398195.9928436653,398.1959928436653
21,539,398550.0725618239,398.55007256182387
21,703,408476.0138340428,408.4760138340428
21,844,333822.3834803771,333.8223834803771
22,64,460154.39163887815,460.15439163887817
22,110,345649.46656744747,345.64946656744746
22,143,327927.928286061,327.927928286061
22,696,115250.31697138606,115.25031697138606
23,251,449323.5331896139,449.3235331896139
24,362,435277.69090448634,435.27769090448635
24,525,421979.1015888372,421.97910158883724
27,275,376020.4667405593,376.0204667405593
