year,completed_sites,H2_capacity_mol_per_year,H2_required_mol_per_year
0,66,2082801600000000.0,0.0
10,103,3250432800000000.0,1.6570771001150742e+17
20,158,4986100800000000.0,3.3141542002301485e+17
30,233,7352920800000000.0,4.971231300345224e+17
40,327,1.03193352e+16,6.628308400460297e+17
50,432,1.36328832e+16,8.285385500575372e+17
60,538,1.69779888e+16,9.942462600690447e+17
70,632,1.99444032e+16,1.1599539700805522e+18
80,707,2.23112232e+16,1.3256616800920594e+18
90,762,2.40468912e+16,1.4913693901035668e+18
100,799,2.52145224e+16,1.6570771001150743e+18
110,824,2.60034624e+16,1.8227848101265818e+18
120,840,2.6508384e+16,1.9884925201380895e+18
130,849,2.67924024e+16,2.1542002301495967e+18
140,855,2.6981748e+16,2.3199079401611044e+18
150,859,2.71079784e+16,2.4856156501726116e+18
160,861,2.71710936e+16,2.651323360184119e+18
170,863,2.72342088e+16,2.8170310701956265e+18
180,864,2.72657664e+16,2.9827387802071337e+18
190,864,2.72657664e+16,3.1484464902186414e+18
200,865,2.7297324e+16,3.3141542002301486e+18
210,865,2.7297324e+16,3.479861910241656e+18
220,865,2.7297324e+16,3.6455696202531635e+18
230,865,2.7297324e+16,3.811277330264671e+18
240,865,2.7297324e+16,3.976985040276179e+18
250,865,2.7297324e+16,4.142692750287686e+18
260,865,2.7297324e+16,4.3084004602991933e+18
270,865,2.7297324e+16,4.474108170310701e+18
280,865,2.7297324e+16,4.639815880322209e+18
290,865,2.7297324e+16,4.805523590333715e+18
300,865,2.7297324e+16,4.971231300345223e+18
