year,completed_sites,H2_capacity_mol_per_year,H2_required_mol_per_year,total_heat_rejection_TW,total_mass_flow_kg_s,total_storage_volume_m3
0,66,2082801600000000.0,0.0,429.0,1383870967.7419353,22141935483.870964
10,103,3250432800000000.0,1.6570771001150742e+17,669.5,2159677419.3548384,34554838709.677414
20,158,4986100800000000.0,3.3141542002301485e+17,1027.0,3312903225.8064513,53006451612.90322
30,233,7352920800000000.0,4.971231300345224e+17,1514.5,4885483870.967742,78167741935.48387
40,327,1.03193352e+16,6.628308400460297e+17,2125.5,6856451612.903225,109703225806.4516
50,432,1.36328832e+16,8.285385500575372e+17,2808.0,9058064516.129032,144929032258.0645
60,538,1.69779888e+16,9.942462600690447e+17,3497.0,11280645161.290321,180490322580.64514
70,632,1.99444032e+16,1.1599539700805522e+18,4108.0,13251612903.225805,212025806451.61288
80,707,2.23112232e+16,1.3256616800920594e+18,4595.5,14824193548.387096,237187096774.19354
90,762,2.40468912e+16,1.4913693901035668e+18,4953.0,15977419354.838709,255638709677.41934
100,799,2.52145224e+16,1.6570771001150743e+18,5193.5,16753225806.45161,268051612903.22577
110,824,2.60034624e+16,1.8227848101265815e+18,5356.0,17277419354.838707,276438709677.4193
120,840,2.6508384e+16,1.9884925201380892e+18,5460.0,17612903225.80645,281806451612.9032
130,849,2.67924024e+16,2.1542002301495967e+18,5518.5,17801612903.225803,284825806451.61285
140,855,2.6981748e+16,2.3199079401611044e+18,5557.5,17927419354.838707,286838709677.4193
150,859,2.71079784e+16,2.485615650172612e+18,5583.5,18011290322.580643,288180645161.2903
160,861,2.71710936e+16,2.651323360184119e+18,5596.5,18053225806.45161,288851612903.22577
170,863,2.72342088e+16,2.8170310701956265e+18,5609.5,18095161290.32258,289522580645.16125
180,864,2.72657664e+16,2.9827387802071337e+18,5616.0,18116129032.258064,289858064516.129
190,864,2.72657664e+16,3.1484464902186414e+18,5616.0,18116129032.258064,289858064516.129
200,865,2.7297324e+16,3.3141542002301486e+18,5622.5,18137096774.193546,290193548387.09674
210,865,2.7297324e+16,3.479861910241656e+18,5622.5,18137096774.193546,290193548387.09674
220,865,2.7297324e+16,3.645569620253164e+18,5622.5,18137096774.193546,290193548387.09674
230,865,2.7297324e+16,3.811277330264671e+18,5622.5,18137096774.193546,290193548387.09674
240,865,2.7297324e+16,3.976985040276179e+18,5622.5,18137096774.193546,290193548387.09674
250,865,2.7297324e+16,4.142692750287686e+18,5622.5,18137096774.193546,290193548387.09674
260,865,2.7297324e+16,4.308400460299193e+18,5622.5,18137096774.193546,290193548387.09674
270,865,2.7297324e+16,4.474108170310701e+18,5622.5,18137096774.193546,290193548387.09674
280,865,2.7297324e+16,4.639815880322209e+18,5622.5,18137096774.193546,290193548387.09674
290,865,2.7297324e+16,4.805523590333715e+18,5622.5,18137096774.193546,290193548387.09674
300,865,2.7297324e+16,4.971231300345223e+18,5622.5,18137096774.193546,290193548387.09674
