year,annual_cost_BUSD,cumulative_cost_BUSD,staff_cost_BUSD,energy_cost_BUSD,maintenance_cost_BUSD,replacement_cost_BUSD
0,378870.546,378870.546,0.346,378870.0,0.2,0.0
1,386447.95692,765318.50292,0.35292,386447.4,0.204,0.0
2,394176.9160584,1159495.4189784,0.3599784,394176.348,0.20808,0.0
3,402060.45437956805,1561555.873357968,0.3671779680000001,402059.87496000004,0.21224160000000003,0.0
4,410101.6634671594,1971657.5368251274,0.37452152736,410101.0724592,0.216486432,0.0
5,418303.6967365026,2389961.23356163,0.3820119579072,418303.093908384,0.22081616064,0.0
6,426669.7706712326,2816631.0042328625,0.38965219706534404,426669.1557865517,0.2252324838528,0.0
7,435203.1660846573,3251834.17031752,0.39744524100665085,435202.5389022828,0.229737133529856,0.0
8,443907.2294063504,3695741.3997238707,0.40539414582678396,443906.58968032844,0.23433187620045315,0.0
9,452785.37399447744,4148526.773718348,0.41350202874331965,452784.721473935,0.2390185137244622,0.0
10,461902.03119536676,4610428.804913715,0.42177206931818606,461840.41590341367,0.24379888399895147,60.94972099973787
11,471077.9031038544,5081506.708017569,0.4302075107045497,471077.224221482,0.2486748616789305,0.0
12,480499.4611659314,5562006.1691835,0.4388116609186407,480498.76870591164,0.2536483589125091,0.0
13,490109.4503892501,6052115.61957275,0.4475878941370136,490108.7440800299,0.2587213260907593,0.0
14,499911.63939703506,6552027.258969785,0.4565396520197538,499910.91896163044,0.2638957526125745,0.0
15,509977.165601892,7062004.424571677,0.46567044506014893,509909.13734086306,0.269173667664826,67.2934169162065
16,520108.06962867535,7582112.494200352,0.47498385396135195,520107.32008768036,0.2745571410181225,0.0
17,530510.2310212489,8112622.725221601,0.484483531040579,530509.466489434,0.28004828383848496,0.0
18,541120.4356416739,8653743.160863275,0.4941732016613906,541119.6558192227,0.28564924951525467,0.0
19,551942.8443545073,9205686.005217781,0.5040566656946184,551942.0489356071,0.29136223450555976,0.0
20,563130.2959811954,9768816.301198978,0.5141377990085108,562980.8899143194,0.29718947919567096,148.59473959783548
21,574241.3352664293,10343057.636465408,0.524420554988681,574240.5077126056,0.30313326877958435,0.0
22,585726.161971758,10928783.798437165,0.5349089660884546,585725.3178668577,0.3091959341551761,0.0
23,597440.6852111933,11526224.48364836,0.5456071454102237,597439.824224195,0.31537985283827963,0.0
24,609389.4989154171,12135613.982563779,0.5565192883184282,609388.6207086788,0.3216874498950452,0.0
25,621659.3191934488,12757273.301757226,0.5676496740847968,621576.3931228525,0.3281211988929461,82.03029972323652
26,634008.8346715999,13391282.136428826,0.5790026675664927,634007.9209853095,0.334683622870805,0.0
27,646689.011365032,14037971.147793857,0.5905827209178226,646688.0794050158,0.34137729532822114,0.0
28,659622.7915923328,14697593.93938619,0.6023943753361791,659621.8409931161,0.3482048412347856,0.0
29,672815.2474241792,15370409.18681037,0.6144422628429027,672814.2778129784,0.3551689380594813,0.0
30,686543.2566102784,16056952.443420649,0.6267311080997607,686270.563369238,0.36227231682067096,271.7042376155032
31,699996.9834201161,16756949.426840764,0.6392657302617559,699995.9746366227,0.3695177631570844,0.0
32,713996.9230885186,17470946.34992928,0.6520510448669911,713995.8941293552,0.37690811842022603,0.0
33,728276.8615502889,18199223.21147957,0.6650920657643309,728275.8120119424,0.3844462807886306,0.0
34,742842.3987812947,18942065.610260867,0.6783939070796176,742841.3282521813,0.3921352064044032,0.0
35,757699.2467569206,19699764.85701779,0.69196178522121,757698.1548172248,0.3999779105324913,0.0
36,772853.231692059,20472618.088709846,0.7058010209256341,772852.1179135693,0.4079774687431411,0.0
37,788310.2963259002,21260928.38503575,0.7199170413441468,788309.1602718408,0.41613701811800397,0.0
38,804076.5022524181,22065004.887288168,0.7343153821710297,804075.3434772776,0.424459758480364,0.0
39,820158.0322974666,22885162.919585638,0.7490016898144503,820156.8503468231,0.4329489536499713,0.0
40,836781.9969097775,23721944.916495413,0.7639817236107393,836559.9873537596,0.4416079327229707,220.80396636148535
41,853292.4168022844,24575237.333297696,0.7792613580829543,853291.1871008349,0.4504400913774302,0.0
42,870358.26513833,25445595.598436024,0.7948465852446133,870357.0108428515,0.4594488932049788,0.0
43,887765.4304410967,26333361.02887712,0.8107435169495055,887764.1510597087,0.4686378710690784,0.0
44,905520.7390499185,27238881.76792704,0.8269583872884957,905519.4340809027,0.47801062849045994,0.0
45,923753.046541182,28162634.814468224,0.8434975550342656,923629.8227625209,0.48757084106026916,121.8927102650673
46,942103.7769075353,29104738.59137576,0.8603675061349508,942102.4192177713,0.49732225788147455,0.0
47,960945.8524456859,30065684.443821445,0.8775748562576499,960944.4676021266,0.507268703039104,0.0
48,980164.7694945999,31045849.213316046,0.8951263533828031,980163.3569541693,0.5174140770998862,0.0
49,999768.0648844918,32045617.278200537,0.9130288804504592,999766.6240932527,0.5277623586418839,0.0
50,1020167.1643865426,33065784.44258708,0.9312894580594683,1019761.9565751178,0.5383176058147215,403.7382043610412
51,1040158.6947058253,34105943.13729291,0.9499152472206577,1040157.1957066201,0.5490839579310159,0.0
52,1060961.868599942,35166905.00589284,0.9689135521650709,1060960.3396207527,0.5600656370896363,0.0
53,1082181.1059719406,36249086.11186478,0.9882918232083723,1082179.5464131676,0.571266949831429,0.0
54,1103824.7280913796,37352910.83995616,1.00805765967254,1103823.137341431,0.5826922888280577,0.0
55,1125901.222653207,38478812.06260937,1.0282188128659906,1125899.6000882597,0.5943461346046188,0.0
56,1148419.2471062716,39627231.30971564,1.0487831891233104,1148417.592090025,0.6062330572967112,0.0
57,1171387.6320483964,40798618.94176404,1.0697588529057767,1171385.9439318252,0.6183577184426454,0.0
58,1194815.3846893648,41993434.32645341,1.0911540299638922,1194813.662810462,0.6307248728114984,0.0
59,1218711.692383152,43212146.01883656,1.11297711056317,1218709.9360666713,0.6433393702677284,0.0
60,1243742.1323884882,44455888.151225045,1.1352366527744333,1243084.1347880047,0.656206157673083,656.2061576730829
61,1267947.6447554315,45723835.79598048,1.1579413858299221,1267945.8174837648,0.6693302808265446,0.0
62,1293306.59765054,47017142.393631026,1.1811002135465207,1293304.73383344,0.6827168864430755,0.0
63,1319172.7296035509,48336315.12323458,1.204722217817451,1319170.8285101086,0.696371224171937,0.0
64,1345556.1841956216,49681871.3074302,1.2288166621738,1345554.245080311,0.7102986486553757,0.0
65,1372467.3078795343,51054338.61530974,1.2533929954172762,1372465.3299819173,0.7245046216284833,0.0
