year,generation_PWh,consumption_PWh,net_energy_PWh,efficiency_%
0,75774.0,4546.44,71227.56,94.0
1,75395.12999999999,4523.7078,70871.42219999999,94.0
2,75018.15435,4501.089261,70517.065089,94.0
3,74643.06357825,4478.583814695,70164.479763555,94.0
4,74269.84826035875,4456.190895621526,69813.65736473723,94.0
5,73898.49901905695,4433.909941143417,69464.58907791354,94.0
6,73529.00652396167,4411.7403914377,69117.26613252398,94.0
7,73161.36149134186,4389.681689480512,68771.67980186135,94.0
8,72795.55468388514,4367.733281033109,68427.82140285205,94.0
9,72431.57691046572,4345.894614627943,68085.68229583777,94.0
10,72069.41902591339,4324.165141554804,67745.2538843586,94.0
11,71709.07193078383,4302.54431584703,67406.5276149368,94.0
12,71350.5265711299,4281.031594267794,67069.49497686212,94.0
13,70993.77393827426,4259.626436296456,66734.1475019778,94.0
14,70638.8050685829,4238.328304114973,66400.47676446791,94.0
15,70285.61104323997,4217.136662594398,66068.47438064558,94.0
16,69934.18298802376,4196.0509792814255,65738.13200874234,94.0
17,69584.51207308365,4175.070724385019,65409.44134869863,94.0
18,69236.58951271824,4154.195370763095,65082.39414195515,94.0
19,68890.40656515464,4133.424393909279,64756.98217124536,94.0
20,68545.95453232888,4112.757271939732,64433.19726038914,94.0
21,68203.22475966722,4092.193485580034,64111.031274087196,94.0
22,67862.20863586888,4071.7325181521337,63790.47611771675,94.0
23,67522.89759268954,4051.3738555613727,63471.52373712816,94.0
24,67185.2831047261,4031.116986283566,63154.16611844253,94.0
25,66849.35668920247,4010.961401352148,62838.39528785031,94.0
26,66515.10990575646,3990.9065943453875,62524.20331141107,94.0
27,66182.53435622767,3970.952061373661,62211.58229485401,94.0
28,65851.62168444654,3951.0973010667917,61900.52438337974,94.0
29,65522.363576024305,3931.3418145614587,61591.02176146284,94.0
30,65194.75175814418,3911.685105488651,61283.06665265553,94.0
31,64868.77799935346,3892.126679961207,60976.65131939225,94.0
32,64544.43410935669,3872.6660465614013,60671.76806279529,94.0
33,64221.7119388099,3853.302716328594,60368.409222481314,94.0
34,63900.603379115855,3834.036202746952,60066.567176368895,94.0
35,63581.10036222028,3814.8660217332167,59766.234340487055,94.0
36,63263.194860409174,3795.791691624551,59467.40316878462,94.0
37,62946.87888610713,3776.812733166428,59170.0661529407,94.0
38,62632.14449167659,3757.9286695005953,58874.215822176,94.0
39,62318.983769218205,3739.139026153093,58579.84474306511,94.0
40,62007.38885037212,3720.4433310223267,58286.94551934979,94.0
41,61697.35190612026,3701.8411143672156,57995.51079175305,94.0
42,61388.86514658965,3683.331908795379,57705.533237794276,94.0
43,61081.92082085671,3664.9152492514027,57417.00557160531,94.0
44,60776.51121675243,3646.590673005146,57129.92054374728,94.0
45,60472.628660668655,3628.3577196401197,56844.27094102853,94.0
46,60170.26551736531,3610.215931041919,56560.04958632339,94.0
47,59869.41418977849,3592.1648513867094,56277.249338391775,94.0
48,59570.067118829604,3574.2040271297765,55995.86309169983,94.0
49,59272.216783235446,3556.3330069941267,55715.88377624132,94.0
50,58975.85569931927,3538.5513419591566,55437.30435736011,94.0
51,58680.97642082267,3520.85858524936,55160.117835573314,94.0
52,58387.571538718556,3503.2542923231135,54884.31724639544,94.0
53,58095.63368102496,3485.738020861498,54609.89566016346,94.0
54,57805.155512619844,3468.3093307571908,54336.84618186265,94.0
55,57516.12973505675,3450.967784103405,54065.16195095334,94.0
56,57228.549086381456,3433.712945182888,53794.836141198575,94.0
57,56942.40634094955,3416.544380456973,53525.86196049257,94.0
58,56657.694309244805,3399.4616585546887,53258.232650690115,94.0
59,56374.40583769858,3382.4643502619147,52991.94148743667,94.0
60,56092.53380851009,3365.552028510606,52726.981779999485,94.0
61,55812.071139467545,3348.7242683680533,52463.34687109949,94.0
62,55533.010783770194,3331.9806470262124,52201.03013674398,94.0
63,55255.345729851346,3315.3207437910805,51940.024986060256,94.0
64,54979.06900120209,3298.7441400721254,51680.324861129964,94.0
65,54704.17365619608,3282.2504193717655,51421.92323682432,94.0
66,54430.652787915096,3265.8391672749062,51164.81362064018,94.0
67,54158.49952397553,3249.5099714385315,50908.989552536994,94.0
68,53887.707026355645,3233.2624215813385,50654.444604774304,94.0
69,53618.26849122387,3217.096109473432,50401.17238175044,94.0
70,53350.17714876774,3201.010628926065,50149.166519841674,94.0
71,53083.4262630239,3185.0055757814343,49898.42068724247,94.0
72,52818.009131708786,3169.080547902527,49648.92858380626,94.0
73,52553.91908605025,3153.235145163015,49400.68394088723,94.0
74,52291.14949061999,3137.4689694372,49153.68052118279,94.0
75,52029.69374316689,3121.7816245900135,48907.912118576874,94.0
76,51769.54527445106,3106.1727164670633,48663.372557983996,94.0
77,51510.6975480788,3090.6418528847285,48420.055695194074,94.0
78,51253.14406033841,3075.188643620305,48177.955416718105,94.0
79,50996.87834003672,3059.812700402203,47937.06563963451,94.0
80,50741.89394833653,3044.5136369001916,47697.38031143634,94.0
81,50488.18447859484,3029.291068715691,47458.89340987916,94.0
82,50235.74355620187,3014.1446133721124,47221.59894282976,94.0
83,49984.56483842086,2999.0738903052525,46985.490948115614,94.0
84,49734.64201422876,2984.078520853725,46750.56349337503,94.0
85,49485.968804157616,2969.1581282494567,46516.81067590816,94.0
86,49238.53896013682,2954.3123376082094,46284.22662252861,94.0
87,48992.34626533614,2939.540775920169,46052.80548941598,94.0
88,48747.38453400946,2924.8430720405677,45822.541461968896,94.0
89,48503.64761133942,2910.218856680365,45593.42875465905,94.0
90,48261.129373282725,2895.6677623969636,45365.46161088576,94.0
91,48019.823726416296,2881.1894235849777,45138.63430283132,94.0
92,47779.72460778422,2866.783476467054,44912.941131317166,94.0
93,47540.8259847453,2852.449559084718,44688.37642566058,94.0
94,47303.12185482157,2838.1873112892945,44464.934543532276,94.0
95,47066.60624554746,2823.9963747328475,44242.60987081461,94.0
96,46831.27321431973,2809.8763928591834,44021.39682146055,94.0
97,46597.11684824813,2795.8270108948873,43801.28983735324,94.0
98,46364.131264006886,2781.8478758404135,43582.28338816647,94.0
99,46132.31060768685,2767.938636461211,43364.37197122564,94.0
