year,total_staff,control_staff,maintenance_staff,technical_staff,management_staff
0,4675.0,50,4325.0,200.0,100
1,4664.025,50,4312.025,202.0,100
2,4653.05,50,4299.05,204.0,100
3,4642.075,50,4286.075,206.0,100
4,4631.1,50,4273.1,208.0,100
5,4620.125,50,4260.125,210.0,100
6,4609.15,50,4247.15,212.0,100
7,4598.175,50,4234.175,214.0,100
8,4587.2,50,4221.2,216.0,100
9,4576.224999999999,50,4208.224999999999,218.00000000000003,100
10,4565.25,50,4195.25,220.00000000000003,100
11,4554.275,50,4182.275,222.00000000000003,100
12,4543.3,50,4169.3,224.00000000000003,100
13,4532.325,50,4156.325,225.99999999999997,100
14,4521.349999999999,50,4143.349999999999,228.00000000000003,100
15,4510.375,50,4130.375,229.99999999999997,100
16,4499.4,50,4117.4,231.99999999999997,100
17,4488.425,50,4104.425,234.0,100
18,4477.45,50,4091.45,236.0,100
19,4466.475,50,4078.475,238.0,100
20,4455.5,50,4065.4999999999995,240.0,100
21,4444.525,50,4052.525,242.0,100
22,4433.549999999999,50,4039.5499999999997,244.0,100
23,4422.575000000001,50,4026.5750000000003,246.0,100
24,4411.6,50,4013.6,248.0,100
25,4400.625,50,4000.625,250.0,100
26,4389.65,50,3987.65,252.0,100
27,4378.675,50,3974.675,254.0,100
28,4367.700000000001,50,3961.7000000000003,256.0,100
29,4356.725,50,3948.7250000000004,258.0,100
30,4345.75,50,3935.75,260.0,100
31,4334.775,50,3922.775,262.0,100
32,4323.8,50,3909.8,264.0,100
33,4312.825000000001,50,3896.8250000000003,266.0,100
34,4301.85,50,3883.85,268.0,100
35,4290.875,50,3870.875,270.0,100
36,4279.9,50,3857.9,272.0,100
37,4268.925,50,3844.925,274.0,100
38,4257.95,50,3831.95,276.0,100
39,4246.975,50,3818.975,278.0,100
40,4236.0,50,3806.0,280.0,100
41,4225.025,50,3793.025,282.0,100
42,4214.05,50,3780.05,284.0,100
43,4203.075,50,3767.075,286.0,100
44,4192.1,50,3754.1,288.0,100
45,4181.125,50,3741.125,290.0,100
46,4170.15,50,3728.15,292.0,100
47,4159.174999999999,50,3715.1749999999997,294.0,100
48,4148.2,50,3702.2,296.0,100
49,4137.225,50,3689.225,298.0,100
50,4126.25,50,3676.25,300.0,100
51,4115.275,50,3663.275,302.0,100
52,4104.299999999999,50,3650.2999999999997,304.0,100
53,4093.325,50,3637.325,306.0,100
54,4082.35,50,3624.35,308.0,100
55,4071.375,50,3611.375,310.0,100
56,4060.3999999999996,50,3598.3999999999996,312.0,100
57,4049.4249999999997,50,3585.4249999999997,314.0,100
58,4038.45,50,3572.45,316.0,100
59,4027.475,50,3559.475,318.0,100
60,4016.5000000000005,50,3546.5000000000005,320.0,100
61,4005.5249999999996,50,3533.5249999999996,322.0,100
62,3994.55,50,3520.55,324.0,100
63,3983.575,50,3507.575,326.0,100
64,3972.6000000000004,50,3494.6000000000004,328.0,100
65,3961.6249999999995,50,3481.6249999999995,330.0,100
66,3950.65,50,3468.65,332.0,100
67,3939.6749999999997,50,3455.6749999999997,334.0,100
68,3928.7000000000003,50,3442.7000000000003,336.00000000000006,100
69,3917.725,50,3429.725,338.0,100
70,3906.75,50,3416.75,340.00000000000006,100
71,3895.775,50,3403.775,342.0,100
72,3884.8,50,3390.8,344.0,100
73,3873.8250000000003,50,3377.8250000000003,346.0,100
74,3862.85,50,3364.85,348.0,100
75,3851.875,50,3351.875,350.0,100
76,3840.9,50,3338.9,352.0,100
77,3829.925,50,3325.925,354.0,100
78,3818.9500000000003,50,3312.9500000000003,356.0,100
79,3807.975,50,3299.975,358.0,100
80,3797.0,50,3287.0,360.0,100
81,3786.025,50,3274.025,362.0,100
82,3775.05,50,3261.05,364.0,100
83,3764.075,50,3248.075,366.0,100
84,3753.1,50,3235.1,368.0,100
85,3742.125,50,3222.125,370.0,100
86,3731.15,50,3209.15,372.0,100
87,3720.175,50,3196.175,374.0,100
88,3709.2,50,3183.2,376.0,100
89,3698.225,50,3170.225,378.0,100
90,3687.25,50,3157.25,380.0,100
91,3676.275,50,3144.275,382.0,100
92,3665.2999999999997,50,3131.2999999999997,384.0,100
93,3654.325,50,3118.325,386.00000000000006,100
94,3643.35,50,3105.35,388.0,100
95,3632.375,50,3092.375,390.00000000000006,100
96,3621.3999999999996,50,3079.3999999999996,392.0,100
97,3610.425,50,3066.425,394.0,100
98,3599.45,50,3053.45,396.0,100
99,3588.4750000000004,50,3040.4750000000004,398.0,100
