case_id,mu,normal_n,k_n,target_k_n,pass_target
1,0.1,200,20.0,1000.0,0
2,0.1,500,50.0,1000.0,0
3,0.1,1000,100.0,1000.0,0
4,0.1,2000,200.0,1000.0,0
5,0.1,5000,500.0,1000.0,0
6,0.2,200,40.0,1000.0,0
7,0.2,500,100.0,1000.0,0
8,0.2,1000,200.0,1000.0,0
9,0.2,2000,400.0,1000.0,0
10,0.2,5000,1000.0,1000.0,1
11,0.3,200,60.0,1000.0,0
12,0.3,500,150.0,1000.0,0
13,0.3,1000,300.0,1000.0,0
14,0.3,2000,600.0,1000.0,0
15,0.3,5000,1500.0,1000.0,1
16,0.5,200,100.0,1000.0,0
17,0.5,500,250.0,1000.0,0
18,0.5,1000,500.0,1000.0,0
19,0.5,2000,1000.0,1000.0,1
20,0.5,5000,2500.0,1000.0,1
21,0.8,200,160.0,1000.0,0
22,0.8,500,400.0,1000.0,0
23,0.8,1000,800.0,1000.0,0
24,0.8,2000,1600.0,1000.0,1
25,0.8,5000,4000.0,1000.0,1
