M[Msun],eta_M,a[m],eta_a,omega[rad/s],eta_omega,rho[kg/m3],eta_rho
1.000000e+00,5.594017e-31,1.000000e+02,5.594017e-42,1.000000e+00,5.594017e-38,1.000000e-15,5.594017e-38
1.151395e+00,4.858468e-31,1.206793e+02,1.431816e-41,1.325711e+00,9.831545e-38,1.757511e-15,9.831545e-38
1.325711e+00,4.219634e-31,1.456348e+02,3.664801e-41,1.757511e+00,1.727904e-37,3.088844e-15,1.727904e-37
1.526418e+00,3.664801e-31,1.757511e+02,9.380233e-41,2.329952e+00,3.036810e-37,5.428675e-15,3.036810e-37
1.757511e+00,3.182921e-31,2.120951e+02,2.400915e-40,3.088844e+00,5.337227e-37,9.540955e-15,5.337227e-37
2.023590e+00,2.764403e-31,2.559548e+02,6.145258e-40,4.094915e+00,9.380233e-37,1.676833e-14,9.380233e-37
2.329952e+00,2.400915e-31,3.088844e+02,1.572908e-39,5.428675e+00,1.648586e-36,2.947052e-14,1.648586e-36
2.682696e+00,2.085222e-31,3.727594e+02,4.025934e-39,7.196857e+00,2.897407e-36,5.179475e-14,2.897407e-36
3.088844e+00,1.811039e-31,4.498433e+02,1.030457e-38,9.540955e+00,5.092224e-36,9.102982e-14,5.092224e-36
3.556480e+00,1.572908e-31,5.428675e+02,2.637504e-38,1.264855e+01,8.949637e-36,1.599859e-13,8.949637e-36
4.094915e+00,1.366089e-31,6.551286e+02,6.750819e-38,1.676833e+01,1.572908e-35,2.811769e-13,1.572908e-35
4.714866e+00,1.186464e-31,7.906043e+02,1.727904e-37,2.222996e+01,2.764403e-35,4.941713e-13,2.764403e-35
5.428675e+00,1.030457e-31,9.540955e+02,4.422654e-37,2.947052e+01,4.858468e-35,8.685114e-13,4.858468e-35
6.250552e+00,8.949637e-32,1.151395e+03,1.132000e-36,3.906940e+01,8.538809e-35,1.526418e-12,8.538809e-35
7.196857e+00,7.772862e-32,1.389495e+03,2.897407e-36,5.179475e+01,1.500705e-34,2.682696e-12,1.500705e-34
8.286428e+00,6.750819e-32,1.676833e+03,7.416052e-36,6.866488e+01,2.637504e-34,4.714866e-12,2.637504e-34
9.540955e+00,5.863163e-32,2.023590e+03,1.898174e-35,9.102982e+01,4.635442e-34,8.286428e-12,4.635442e-34
1.098541e+01,5.092224e-32,2.442053e+03,4.858468e-35,1.206793e+02,8.146839e-34,1.456348e-11,8.146839e-34
