T,P_vapor,phase
200.0,1.6910650294358387e-4,solid
210.0,7.079844517694369e-4,solid
220.0,2.6022804214648554e-3,solid
230.0,8.541326145098059e-3,solid
240.0,2.539114286131718e-2,solid
250.0,6.918096841416395e-2,solid
260.0,1.7450427559899642e-1,solid
270.0,4.110182490391176e-1,solid
280.0,9.106275345348604e-1,solid
290.0,1.9098280455888286e+0,liquid
300.0,3.812450287727261e+0,liquid
310.0,7.278564419730307e+0,liquid
320.0,1.3345494619606976e+1,liquid
330.0,2.3586674470999353e+1,liquid
340.0,4.031343533858771e+1,liquid
350.0,6.682377598815068e+1,liquid
360.0,1.0770077200952859e+2,liquid
370.0,1.6916163499312678e+2,liquid
380.0,2.594566287802212e+2,liquid
390.0,3.8931520450690643e+2,liquid
400.0,5.724349343303915e+2,liquid
410.0,8.260071997762393e+2,liquid
420.0,1.1712722003718341e+3,liquid
430.0,1.6340947460720504e+3,liquid
440.0,2.245551515327258e+3,liquid
450.0,3.0425200110250705e+3,liquid
460.0,4.0682593221623675e+3,liquid
470.0,5.37297297819429e+3,liquid
480.0,7.014344632485752e+3,liquid
490.0,9.058037990458503e+3,liquid
500.0,1.1578153261947677e+4,liquid
510.0,1.4657633419726893e+4,liquid
520.0,1.8388614642006204e+4,liquid
530.0,2.2872716463772294e+4,liquid
540.0,2.822126832218715e+4,liquid
550.0,3.4555470322015536e+4,liquid
560.0,4.2006487140787774e+4,liquid
570.0,5.071547501823598e+4,liquid
580.0,6.08335427139068e+4,liquid
590.0,7.252164815914628e+4,liquid
600.0,8.595043326772988e+4,liquid
610.0,1.0129999999999995e+5,liquid
620.0,1.1875963129849476e+5,liquid
630.0,1.3852746093141222e+5,liquid
640.0,1.608100965986729e+5,liquid
650.0,1.8582220088026624e+5,liquid
660.0,2.137860347455284e+5,liquid
670.0,2.4493096840332962e+5,liquid
680.0,2.7949296426548514e+5,liquid
690.0,3.1771403672783816e+5,liquid
700.0,3.598416933540415e+5,liquid
