t,A_matrix,B_matrix
0.0,100.0,50.0
1.0,104.5,50.5
2.0,109.00000000000002,51.0
3.0,113.49999999999999,51.5
4.0,118.0,52.0
5.0,122.5,52.5
6.0,127.0,53.0
7.0,131.5,53.5
8.0,136.0,54.0
9.0,140.5,54.5
10.0,145.0,55.0
11.0,149.5,55.5
12.0,154.0,56.0
13.0,158.5,56.5
14.0,163.00000000000004,57.0
15.0,167.5,57.50000000000001
16.0,172.0,58.00000000000001
17.0,176.5,58.5
18.0,181.0,59.0
19.0,185.50000000000004,59.5
20.0,190.0,60.0
21.0,194.49999999999998,60.5
22.0,199.0,61.0
23.0,203.50000000000004,61.5
24.0,208.00000000000004,62.0
25.0,212.5,62.5
26.0,216.99999999999998,63.0
27.0,221.5,63.5
28.0,226.00000000000004,64.0
29.0,230.50000000000004,64.5
30.0,235.0,65.0
31.0,239.49999999999998,65.5
32.0,244.0,66.0
33.0,248.50000000000007,66.5
34.0,253.0,67.0
35.0,257.5,67.5
36.0,262.0,68.0
37.0,266.5,68.5
38.0,271.00000000000008,69.0
39.0,275.5,69.5
40.0,280.0,70.0
41.0,284.5,70.5
42.0,289.0,71.0
43.0,293.5,71.5
44.0,298.0,72.0
45.0,302.5,72.5
46.0,307.0,73.0
47.0,311.5,73.5
48.0,316.00000000000008,74.0
49.0,320.5,74.5
50.0,325.0,75.0
