t,A,B
0.0,100.0,50.0
0.5,102.27772217313013,50.25503773027528
1.0,104.61178820766928,50.52030370228642
1.5,107.0035720833928,50.79603133408633
2.0,109.45448136624597,51.082459815791964
2.5,111.96595802900448,51.37983425034772
3.0,114.53947929198839,51.688405797729644
3.5,117.17655848432041,52.00843182267479
4.0,119.87874592622954,52.34017604602131
4.5,122.64762983291517,52.68390869974815
5.0,125.48483724049798,53.03990668580423
5.5,128.39203495459734,53.40845373881993
6.0,131.37093052208854,53.78984059279581
6.5,134.42327322660586,54.18436515186556
7.0,137.55085510837188,54.59233266523289
7.5,140.75551200894733,55.01405590638417
8.0,144.0391246415107,55.44985535668163
8.5,147.40361968729138,55.90005939344371
9.0,150.85097091879518,56.36500448262266
9.5,154.38320035047695,56.84503537619122
10.0,158.0023794175315,57.34050531435403
10.5,161.7106301834893,57.85177623270114
11.0,165.51012657732107,58.37921897442469
11.5,169.40309566077255,58.923213507722394
12.0,173.39181892666755,59.484149148514454
12.5,177.47863362893676,60.062424788604005
13.0,181.66593414514722,60.658449129413846
13.5,185.95617337232645,61.27264092143585
14.0,190.35186415689483,61.90542920953245
14.5,194.8555807595405,62.557253584233685
15.0,199.46996035588927,63.22856443917564
15.5,204.19770457384556,63.919823234830844
16.0,209.0415810684995,64.63150276868426
16.5,214.0044251355184,65.36408745201204
17.0,219.08914136396365,66.11807359342517
17.5,224.2987053294952,66.8939696893422
18.0,229.63616532895185,67.69229672156142
18.5,235.1046441573173,68.51358846210532
19.0,240.7073409281083,69.35839178551522
19.5,246.44753293824616,70.22726698877824
20.0,252.32857757849757,71.1207881190728
20.5,258.3539142905998,72.03954330952413
21.0,264.5270665722096,72.98413512316505
21.5,270.85164403084536,73.9551809053029
22.0,277.33134448801906,74.95331314449787
22.5,283.96995613478543,75.97917984236297
23.0,290.77135973996303,77.03344489240169
23.5,297.73953091231675,78.11678846810362
24.0,304.8785424180179,79.22990742052481
24.5,312.19256655473407,80.37351568558387
25.0,319.6858775837327,81.54834470131235
25.5,327.36285422141435,82.75514383530134
26.0,335.2279821917303,83.99468082259459
26.5,343.2858568409701,85.26774221428252
27.0,351.5411858164449,86.57513383705935
27.5,359.99879181062545,87.91768126401054
28.0,368.6636153723379,89.29623029690558
28.5,377.5407177866519,90.71164746027672
29.0,386.635284025143,92.16482050757227
29.5,395.952625768247,93.65665893967883
30.0,405.498184501468,95.18809453611505
30.5,415.2775346872469,96.76008189920674
31.0,425.2963870143351,98.37359901156022
31.5,435.56059172657206,100.02964780715874
32.0,446.07614203300386,101.72925475641556
32.5,456.84917760133044,103.47347146552364
33.0,467.88598813672047,105.26337529045259
33.5,479.1930170480761,107.10006996594934
34.0,490.7768652038877,108.98468624991075
34.5,502.64429477986624,110.91838258350222
35.0,514.802233200595,112.90234576740819
35.5,527.2577771775012,114.93779165460823
36.0,540.0181968454993,117.02596586008282
36.5,553.090940000714,119.16814448786182
37.0,566.4836364417607,121.3656348758406
37.5,580.2041024171054,123.61977635879681
38.0,594.2603451811018,125.931941050053
38.5,608.6605676613601,128.3035346422415
39.0,623.4131732401657,130.7359972276364
39.5,638.5267706527375,133.23080413853296
40.0,654.0101790051796,135.78946680816279
40.5,669.8724329150504,138.41353365264743
41.0,686.1227877775498,141.10459097450402
41.5,702.770725160385,143.86426388822952
42.0,719.8259583304696,146.6942172685036
42.5,737.2984379156725,149.59615672156298
43.0,755.1983577049128,152.57182958031186
43.5,773.5361605899908,155.62302592375065
44.0,792.3225446526095,158.75157962131598
44.5,811.5684694001412,161.95936940274075
45.0,831.285162153767,165.248319954058
45.5,851.4841245927201,168.62040304038743
46.0,872.177139458443,172.07763865615985
46.5,893.3762774225643,175.62209620344768
47.0,915.0939041227053,179.2558956990913
47.5,937.3426873702108,182.9812090113228
48.0,960.1356045340061,186.80026112660843
48.5,983.485950104889,190.71533144744888
49.0,1007.407343444659,194.72875512189253
49.5,1031.913736724606,198.84292440553818
50.0,1057.0194230579825,203.06029005681955
50.5,1082.7390448311983,207.38336276638623
51.0,1109.087602238602,211.81471462141366
51.5,1136.0804620258095,216.35698060569496
52.0,1163.73336644669,221.01286013639063
52.5,1192.062442439221,225.7851186383297
53.0,1221.0842110255683,230.6765891567828
53.5,1250.815596941858,235.69017400964404
54.0,1281.2739385032683,240.82884647998654
54.5,1312.4769977101803,246.0956525499789
55.0,1344.4429706012852,251.49371267717112
55.5,1377.1904978596713,257.0262236141868
56.0,1410.738675678092,262.69646027288184
56.5,1445.107066889729,268.5077776340572
57.0,1480.3157123709461,274.4636127038364
57.5,1516.3851427226853,280.567486517851
58.0,1553.3363902372992,286.8230061944
58.5,1591.1910011578188,293.2338670377818
59.0,1629.971048236772,299.8038546930227
59.5,1669.699143601894,306.5368473532594
60.0,1710.398451936233,313.4368180210618
60.5,1752.0927039803073,320.50783682501384
61.0,1794.8062103642142,327.7540733929027
61.5,1838.5638757777292,335.1797992828994
62.0,1883.3912134866732,342.78939047415025
62.5,1929.314360203992,350.5873299182253
63.0,1976.3600913242326,358.5782101529181
63.5,2024.5558365302822,366.76673597991464
64.0,2073.9296957814763,375.1577272078954
64.5,2124.510455692384,383.7561214626666
65.0,2176.3276063118346,392.56697706596276
65.5,2229.411358311949,401.59547598459403
66.0,2283.792660597196,410.8469268516604
66.5,2339.5032183437556,420.3267680615926
67.0,2396.5755114796766,430.04057094082333
67.5,2455.0428136166242,439.99404299593834
68.0,2514.9392114442353,450.1930312411988
68.5,2576.299624598398,460.6435256073757
69.0,2639.1598260150304,471.35166243388403
69.5,2703.556462781214,482.32372804624845
70.0,2769.527077495859,493.56616242099176
70.5,2837.110130152321,505.0855629400757
71.0,2906.3450205557583,516.8886882370884
71.5,2977.272111288256,528.9824621374155
72.0,3049.9327512351383,541.3739776946936
72.5,3124.3692996861696,554.0705013259017
73.0,3200.625151025682,567.0794770474938
73.5,3278.7447600260343,580.40853081505
74.0,3358.7736677591347,594.0654749689677
74.5,3440.758528141144,608.0583127887918
75.0,3524.7471351258146,622.3952431588317
75.5,3610.788450562331,637.0846653477897
76.0,3698.932632733874,652.1351839051823
76.5,3789.2310655935567,667.5556136774145
77.0,3881.7363887147726,683.354984946422
77.5,3976.5025279733945,699.5425486938873
78.0,4073.5847269797255,716.1277819940847
78.5,4173.039579278533,733.1203935385148
79.0,4274.925061335901,750.5303292955305
79.5,4379.300566332152,768.3677783082663
80.0,4486.226938780539,786.6431786342449
80.5,4595.766509991864,805.3672234301224
81.0,4707.983134405724,824.5508671851262
81.5,4822.942226809517,844.2053321068047
82.0,4940.710800466956,864.3421146628255
82.5,5061.357506178282,884.9729922826281
83.0,5184.952672294929,906.1100302228357
83.5,5311.568345712018,927.7655886004336
84.0,5441.278333862505,949.9523295978069
84.5,5574.158247737533,972.6832248438448
85.0,5710.285545957984,995.9715629754039
85.5,5849.73957992299,1019.830957383549
86.0,5992.601640061675,1044.2753541490767
86.5,6138.955003215115,1069.3190401719546
87.0,6288.8849811761,1094.9766514994092
87.5,6442.478970415024,1121.263181857518
88.0,6599.826503020878,1148.1939913912859
88.5,6761.019298887002,1175.7848156182818
89.0,6926.151319172084,1204.05177460108
89.5,7095.318821067508,1233.0113823438296
90.0,7268.6204139029805,1262.6805564184392
90.5,7446.157116623174,1293.0766278259937
91.0,7628.032416668851,1324.2173510991336
91.5,7814.352330296803,1356.120914651308
92.0,8005.225464373773,1388.8059513789103
92.5,8200.763079680344,1422.2915495224943
93.0,8401.079155761747,1456.5972637933917
93.5,8606.290457363333,1491.7431267722234
94.0,8816.516602489482,1527.7496605859358
94.5,9031.880132125561,1564.6378888701868
95.0,9252.506581663647,1602.4293490240386
95.5,9478.524554073543,1641.1461047641046
96.0,9710.065794861857,1680.810758985473
96.5,9947.265268862726,1721.446466936897
97.0,10190.261238905026,1763.076949717934
97.5,10439.195346401868,1805.726508105898
98.0,10694.212693909376,1849.42003672069
98.5,10955.46192970288,1894.1830385357646
99.0,11223.095334419764,1940.0416397436652
99.5,11497.268909819571,1987.022604984842
100.0,11778.14246971299,2035.1533529485787
