t,A_analytical,B_analytical
0.0,100.0,50.0
1.0,104.61178820766928,50.52030370228642
2.0,109.45448136624597,51.082459815791967
3.0,114.53947929198839,51.688405797729647
4.0,119.87874592622954,52.34017604602131
5.0,125.48483724049798,53.03990668580423
6.0,131.3709305220885,53.78984059279581
7.0,137.5508551083719,54.59233266523289
8.0,144.0391246415107,55.44985535668163
9.0,150.85097091879519,56.36500448262266
10.0,158.0023794175315,57.34050531435403
11.0,165.51012657732108,58.379218974424698
12.0,173.39181892666756,59.484149148514458
13.0,181.66593414514723,60.658449129413849
14.0,190.35186415689484,61.90542920953245
15.0,199.46996035588928,63.22856443917564
16.0,209.0415810684995,64.63150276868426
17.0,219.08914136396366,66.11807359342517
18.0,229.63616532895186,67.69229672156142
19.0,240.7073409281083,69.35839178551523
20.0,252.32857757849755,71.12078811907282
21.0,264.5270665722096,72.98413512316505
22.0,277.33134448801908,74.95331314449787
23.0,290.77135973996306,77.03344489240169
24.0,304.87854241801787,79.22990742052481
25.0,319.6858775837327,81.54834470131235
26.0,335.22798219173026,83.9946808225946
27.0,351.5411858164449,86.57513383705936
28.0,368.6636153723379,89.29623029690558
29.0,386.635284025143,92.16482050757227
30.0,405.498184501468,95.18809453611505
31.0,425.2963870143351,98.37359901156022
32.0,446.07614203300389,101.72925475641556
33.0,467.88598813672049,105.26337529045259
34.0,490.7768652038877,108.98468624991075
35.0,514.802233200595,112.90234576740819
36.0,540.0181968454994,117.02596586008282
37.0,566.4836364417607,121.3656348758406
38.0,594.2603451811018,125.931941050053
39.0,623.4131732401658,130.7359972276364
40.0,654.0101790051796,135.78946680816279
41.0,686.1227877775498,141.10459097450403
42.0,719.8259583304696,146.6942172685036
43.0,755.1983577049128,152.57182958031187
44.0,792.3225446526095,158.75157962131599
45.0,831.285162153767,165.248319954058
46.0,872.177139458443,172.07763865615986
47.0,915.0939041227053,179.2558956990913
48.0,960.1356045340061,186.80026112660844
49.0,1007.407343444659,194.72875512189254
50.0,1057.0194230579824,203.06029005681956
51.0,1109.087602238602,211.81471462141367
52.0,1163.73336644669,221.01286013639064
53.0,1221.0842110255683,230.6765891567828
54.0,1281.2739385032683,240.82884647998655
55.0,1344.4429706012853,251.49371267717113
56.0,1410.738675678092,262.69646027288186
57.0,1480.3157123709462,274.4636127038364
58.0,1553.3363902372992,286.8230061944
59.0,1629.971048236772,299.8038546930227
60.0,1710.398451936233,313.4368180210618
61.0,1794.8062103642147,327.7540733929027
62.0,1883.3912134866733,342.78939047415028
63.0,1976.3600913242327,358.5782101529181
64.0,2073.9296957814765,375.1577272078954
65.0,2176.327606311835,392.56697706596278
66.0,2283.792660597196,410.8469268516604
67.0,2396.5755114796768,430.04057094082335
68.0,2514.9392114442355,450.1930312411988
69.0,2639.1598260150306,471.35166243388405
70.0,2769.527077495859,493.56616242099178
71.0,2906.3450205557585,516.8886882370885
72.0,3049.9327512351385,541.3739776946936
73.0,3200.625151025682,567.0794770474938
74.0,3358.7736677591349,594.0654749689677
75.0,3524.747135125815,622.3952431588317
76.0,3698.932632733874,652.1351839051823
77.0,3881.7363887147728,683.3549849464221
78.0,4073.5847269797257,716.1277819940847
79.0,4274.925061335901,750.5303292955305
80.0,4486.226938780539,786.6431786342449
81.0,4707.983134405724,824.5508671851262
82.0,4940.710800466956,864.3421146628255
83.0,5184.952672294929,906.1100302228357
84.0,5441.278333862505,949.9523295978069
85.0,5710.285545957984,995.9715629754039
86.0,5992.601640061675,1044.2753541490768
87.0,6288.8849811761,1094.976651499409
88.0,6599.826503020878,1148.1939913912859
89.0,6926.151319172084,1204.05177460108
90.0,7268.6204139029809,1262.6805564184393
91.0,7628.032416668851,1324.2173510991336
92.0,8005.225464373773,1388.8059513789104
93.0,8401.079155761747,1456.5972637933917
94.0,8816.516602489483,1527.7496605859358
95.0,9252.506581663649,1602.4293490240385
96.0,9710.065794861858,1680.810758985473
97.0,10190.261238905027,1763.076949717934
98.0,10694.212693909376,1849.42003672069
99.0,11223.095334419765,1940.0416397436653
100.0,11778.14246971299,2035.1533529485787
101.0,12360.648419661073,2134.977238328515
102.0,12971.971532860435,2239.7463435364609
103.0,13613.537354064797,2349.7052453303206
104.0,14286.841948307576,2465.1106199015937
105.0,14993.455389465206,2586.2318414176727
106.0,15735.025421395987,2713.351610173418
107.0,16513.281300191576,2846.766611816748
108.0,17330.037826500707,2986.78820918549
109.0,18187.19957732763,3133.743168368664
110.0,19086.76534717326,3287.974420685319
111.0,20030.83280887482,3449.841862357672
112.0,21021.60340501238,3619.72319374327
113.0,22061.387481288105,3798.014800083116
114.0,23152.609673848355,3985.1326758195029
115.0,24297.814563110989,4181.513394638916
116.0,25499.67260728148,4387.6151275019569
117.0,26760.98636939401,4603.918711034178
118.0,28084.697052397399,4830.928768769089
119.0,29473.891357525209,5069.1748878579469
120.0,30931.808681941989,5319.212853990115
121.0,32461.84867244961,5581.625947403717
122.0,34067.57915286739,5857.0263030085529
123.0,35752.74444357146,6146.0563377929179
124.0,37521.274092593,6449.390248842767
125.0,39377.29203863462,6767.7355854663069
126.0,41325.126227371587,7101.834899089992
127.0,43369.3187034613,7452.46747477316
128.0,45514.636201793957,7820.451148378894
129.0,47766.08126268114,8206.64421363843
130.0,50128.90389690096,8611.947423556087
131.0,52608.61382780115,9037.306090821592
132.0,55210.99333900548,9483.712292127623
133.0,57942.1107576832,9952.20718153266
134.0,60808.33460482135,10443.883418263459
135.0,63816.34844549638,10959.887714618419
136.0,66973.16647377264,11501.423509913024
137.0,70286.14986856985,12069.753776702605
138.0,73763.02395863799,12666.203965826037
139.0,77411.8962366652,13292.165097137602
140.0,81241.27526452476,13949.097003134177
141.0,85260.09051374492,14638.53173304125
142.0,89477.71318746572,15362.077125295571
